participant,trialPerBlock,runningTrialNumber,rating,rt,cueTime,image,music,cued,baselineImage,baselineMusic,baselineTarget,baselineDistractor,cuedImage,cuedMusic,baselinesMean,predRating,diffRatePred
4801,4,0,3,440.0,Post,image34.jpg,Classical_1.mp3,Image,9.0,5.0,9.0,5.0,image34.jpg,,7.0,9.0,-6.0
4801,5,1,5,1052.0,Post,image17.jpg,Classical_18.mp3,Image,2.0,9.0,2.0,9.0,image17.jpg,,5.5,2.0,3.0
4801,6,2,2,1023.0,Post,image35.jpg,Classical_4.mp3,Image,4.0,3.0,4.0,3.0,image35.jpg,,3.5,4.0,-2.0
4801,7,3,4,891.0,Post,image52.jpg,Cut_jazz_5.mp3,Both,4.0,1.0,,,image52.jpg,Cut_jazz_5.mp3,2.5,2.5,1.5
4801,8,4,3,500.0,Post,image4.jpg,Cut_jazz_1.mp3,Music,2.0,8.0,8.0,2.0,,Cut_jazz_1.mp3,5.0,8.0,-5.0
4801,9,5,2,869.0,Post,image20.jpg,Classical_6.mp3,Image,4.0,2.0,4.0,2.0,image20.jpg,,3.0,4.0,-2.0
4801,10,6,7,420.0,Post,image12.jpg,Cut_jazz_16.mp3,Music,9.0,4.0,4.0,9.0,,Cut_jazz_16.mp3,6.5,4.0,3.0
4801,11,7,7,84.0,Post,image4.jpg,Classical_19.mp3,Both,2.0,7.0,,,image4.jpg,Classical_19.mp3,4.5,4.5,2.5
4801,12,8,5,959.0,Post,image2.jpg,Classical_8.mp3,Both,5.0,3.0,,,image2.jpg,Classical_8.mp3,4.0,4.0,1.0
4801,13,9,6,509.0,Post,image14.jpg,Classical_18.mp3,Both,3.0,9.0,,,image14.jpg,Classical_18.mp3,6.0,6.0,0.0
4801,14,10,8,459.0,Post,image1.jpg,Cut_jazz_16.mp3,Image,6.0,4.0,6.0,4.0,image1.jpg,,5.0,6.0,2.0
4801,15,11,8,468.0,Post,image5.jpg,Cut_jazz_10.mp3,Music,3.0,3.0,3.0,3.0,,Cut_jazz_10.mp3,3.0,3.0,5.0
4801,16,12,9,997.0,Post,image36.jpg,Cut_jazz_2.mp3,Both,3.0,7.0,,,image36.jpg,Cut_jazz_2.mp3,5.0,5.0,4.0
4801,17,13,6,57.0,Post,image14.jpg,Classical_15.mp3,Music,3.0,3.0,3.0,3.0,,Classical_15.mp3,3.0,3.0,3.0
4801,18,14,6,927.0,Post,image10.jpg,Cut_jazz_16.mp3,Both,3.0,4.0,,,image10.jpg,Cut_jazz_16.mp3,3.5,3.5,2.5
4801,19,15,7,883.0,Post,image20.jpg,Classical_8.mp3,Music,4.0,3.0,3.0,4.0,,Classical_8.mp3,3.5,3.0,4.0
4801,20,16,5,992.0,Post,image33.jpg,Classical_1.mp3,Music,8.0,5.0,5.0,8.0,,Classical_1.mp3,6.5,5.0,0.0
4801,21,17,7,81.0,Post,image14.jpg,Classical_17.mp3,Image,3.0,7.0,3.0,7.0,image14.jpg,,5.0,3.0,4.0
4801,22,18,6,880.0,Post,image35.jpg,Classical_2.mp3,Music,4.0,1.0,1.0,4.0,,Classical_2.mp3,2.5,1.0,5.0
4801,23,19,8,948.0,Post,image39.jpg,Cut_jazz_1.mp3,Both,9.0,8.0,,,image39.jpg,Cut_jazz_1.mp3,8.5,8.5,-0.5
4801,24,20,4,890.0,Post,image15.jpg,Classical_15.mp3,Image,1.0,3.0,1.0,3.0,image15.jpg,,2.0,1.0,3.0
4801,25,21,9,995.0,Post,image12.jpg,Cut_jazz_14.mp3,Both,9.0,6.0,,,image12.jpg,Cut_jazz_14.mp3,7.5,7.5,1.5
4801,26,22,8,51.0,Post,image36.jpg,Classical_19.mp3,Music,3.0,7.0,7.0,3.0,,Classical_19.mp3,5.0,7.0,1.0
4801,27,23,4,945.0,Post,image3.jpg,Classical_7.mp3,Music,6.0,8.0,8.0,6.0,,Classical_7.mp3,7.0,8.0,-4.0
4801,28,24,5,1012.0,Post,image17.jpg,Classical_17.mp3,Music,2.0,7.0,7.0,2.0,,Classical_17.mp3,4.5,7.0,-2.0
