"Prolific_ID","Participant.Device.Type","Trial.Number","Reaction.Time","Response","display","ImageStim","MusicStim","StimCued"
4801,"computer","4",440,"3","Post","image34.jpg","Classical_1.mp3","Image"
4801,"computer","5",1052,"5","Post","image17.jpg","Classical_18.mp3","Image"
4801,"computer","6",1023,"2","Post","image35.jpg","Classical_4.mp3","Image"
4801,"computer","7",891,"4","Post","image52.jpg","Cut_jazz_5.mp3","Both"
4801,"computer","8",500,"3","Post","image4.jpg","Cut_jazz_1.mp3","Music"
4801,"computer","9",869,"2","Post","image20.jpg","Classical_6.mp3","Image"
4801,"computer","10",420,"7","Post","image12.jpg","Cut_jazz_16.mp3","Music"
4801,"computer","11",84,"7","Post","image4.jpg","Classical_19.mp3","Both"
4801,"computer","12",959,"5","Post","image2.jpg","Classical_8.mp3","Both"
4801,"computer","13",509,"6","Post","image14.jpg","Classical_18.mp3","Both"
4801,"computer","14",459,"8","Post","image1.jpg","Cut_jazz_16.mp3","Image"
4801,"computer","15",468,"8","Post","image5.jpg","Cut_jazz_10.mp3","Music"
4801,"computer","16",997,"9","Post","image36.jpg","Cut_jazz_2.mp3","Both"
4801,"computer","17",57,"6","Post","image14.jpg","Classical_15.mp3","Music"
4801,"computer","18",927,"6","Post","image10.jpg","Cut_jazz_16.mp3","Both"
4801,"computer","19",883,"7","Post","image20.jpg","Classical_8.mp3","Music"
4801,"computer","20",992,"5","Post","image33.jpg","Classical_1.mp3","Music"
4801,"computer","21",81,"7","Post","image14.jpg","Classical_17.mp3","Image"
4801,"computer","22",880,"6","Post","image35.jpg","Classical_2.mp3","Music"
4801,"computer","23",948,"8","Post","image39.jpg","Cut_jazz_1.mp3","Both"
4801,"computer","24",890,"4","Post","image15.jpg","Classical_15.mp3","Image"
4801,"computer","25",995,"9","Post","image12.jpg","Cut_jazz_14.mp3","Both"
4801,"computer","26",51,"8","Post","image36.jpg","Classical_19.mp3","Music"
4801,"computer","27",945,"4","Post","image3.jpg","Classical_7.mp3","Music"
4801,"computer","28",1012,"5","Post","image17.jpg","Classical_17.mp3","Music"
4801,"computer","29",82,"9","Post","image34.jpg","Classical_4.mp3","Music"
4801,"computer","30",878,"4","Post","image15.jpg","Classical_18.mp3","Music"
4801,"computer","31",1026,"9","Post","image12.jpg","Cut_jazz_19.mp3","Image"
4801,"computer","32",65,"6","Post","image2.jpg","Classical_6.mp3","Music"
4801,"computer","33",411,"7","Post","image3.jpg","Classical_8.mp3","Image"
4801,"computer","34",1015,"3","Post","image52.jpg","Cut_jazz_7.mp3","Music"
4801,"computer","35",71,"4","Post","image10.jpg","Cut_jazz_14.mp3","Image"
4801,"computer","36",935,"6","Post","image35.jpg","Classical_1.mp3","Both"
4801,"computer","37",1032,"7","Post","image1.jpg","Cut_jazz_14.mp3","Music"
4801,"computer","38",918,"3","Post","image2.jpg","Classical_7.mp3","Image"
4801,"computer","39",1001,"8","Post","image39.jpg","Classical_19.mp3","Image"
4801,"computer","40",983,"6","Post","image47.jpg","Cut_jazz_7.mp3","Image"
4801,"computer","41",403,"7","Post","image39.jpg","Cut_jazz_2.mp3","Music"
4801,"computer","42",399,"2","Post","image3.jpg","Classical_6.mp3","Both"
