,bestModel_preOne,bestModel_postOne,bestModel_preBoth,bestModel_postBoth,participant
0,accurate,accurate,averaging,averaging,4738
1,averaging,averaging,compress,averaging,4745
2,accurate,accurate,averaging,averaging,4750
3,accurate,accurate,linear_modality,averaging,4751
4,accurate,averaging,linear_modality,compress,4754
5,accurate,accurate,compress,averaging,4761
6,accurate,accurate,averaging,averaging,4764
7,averaging,averaging,averaging,compress,4769
8,accurate,accurate,compress,compress,4771
9,accurate,accurate,linear_modality,linear_modality,4772
10,averaging,accurate,averaging,compress,4774
11,averaging,averaging,averaging,averaging,4801
12,accurate,averaging,averaging,averaging,4807
13,accurate,accurate,averaging,averaging,4808
14,averaging,averaging,averaging,compress,4809
15,accurate,accurate,averaging,averaging,4811
16,accurate,accurate,compress,averaging,4815
17,linear_modality,averaging,linear_modality,linear_modality,4821
18,accurate,accurate,compress,averaging,4824
19,averaging,averaging,averaging,averaging,4830
20,averaging,accurate,averaging,compress,4843
21,accurate,accurate,averaging,linear_modality,4844
22,averaging,accurate,averaging,compress,4854
23,averaging,averaging,averaging,compress,4856
24,accurate,accurate,averaging,averaging,4861
25,accurate,accurate,averaging,extreme,4866
26,accurate,averaging,averaging,averaging,4873
27,averaging,averaging,averaging,averaging,4875
28,accurate,averaging,averaging,averaging,4887
29,accurate,accurate,linear_modality,linear_modality,4888
30,accurate,accurate,averaging,averaging,4889
31,accurate,accurate,averaging,averaging,4890
32,accurate,accurate,averaging,averaging,4891
33,accurate,accurate,averaging,compress,4892
34,accurate,accurate,compress,compress,4896
35,accurate,averaging,averaging,compress,4898
36,accurate,accurate,averaging,averaging,4899
