participant,AREA_1,AREA_2,AREA_3,AREA_4,AREA_5,AREA_6,AREA_7,AREA_8,AREA_9,AREA_10,AREA_11,AREA_12,AREA_13,AREA_14,BMRQ_1,BMRQ_2,BMRQ_3,BMRQ_4,BMRQ_5,BMRQ_6,BMRQ_7,BMRQ_8,BMRQ_9,BMRQ_10,BMRQ_11,BMRQ_12,BMRQ_13,BMRQ_14,BMRQ_15,BMRQ_16,BMRQ_17,BMRQ_18,BMRQ_19,BMRQ_20,Sex,Age,Ed,Race,YrsMusic,YrsArt,AReA_aesthApp,AReA_intAesthExp,AReA_creatBehav,AReA_total,BMRQ_sum,BMRQ_musicSeeking,BMRQ_emoEvoc,BMRQ_moodReg,BMRQ_sensMot,BMRQ_social,BMRQ_musicRew,avgRMSE_accurate_preOne,avgRMSE_linear_preOne,avgRMSE_linear_modality_preOne,avgRMSE_averaging_preOne,avgRMSE_highAtt_preOne,avgRes_linear_preOne,avgRes_linear_image_preOne,avgRes_linear_music_preOne,avgRes_highAtt_preOne,avgRMSE_accurate_postOne,avgRMSE_linear_postOne,avgRMSE_linear_modality_postOne,avgRMSE_averaging_postOne,avgRMSE_highAtt_postOne,avgRes_linear_postOne,avgRes_linear_image_postOne,avgRes_linear_music_postOne,avgRes_highAtt_postOne,avgRMSE_averaging_preBoth,avgRMSE_linear_modality_preBoth,avgRMSE_compress_preBoth,avgRMSE_extreme_preBoth,avgRes_imageWeight_linear_preBoth,avgRes_a_compress_preBoth,avgRes_b_compress_preBoth,avgRes_a_extreme_preBoth,avgRes_b_extreme_preBoth,avgRMSE_averaging_postBoth,avgRMSE_linear_modality_postBoth,avgRMSE_compress_postBoth,avgRMSE_extreme_postBoth,avgRes_imageWeight_linear_postBoth,avgRes_a_compress_postBoth,avgRes_b_compress_postBoth,avgRes_a_extreme_postBoth,avgRes_b_extreme_postBoth
4738,2,4,2,3,2,2,1,1,4,3,3,2,2,3,4,2,5,4,3,2,4,5,5,2,3,2,1,5,5,3,1,5,4,3,Male,20,14,white,0,1,22,8,6,34,68,46.0,54.0,63.0,34.0,30.0,45.0,0.5555555555555556,0.6752900197426868,0.6402713116878253,0.9444444444444444,0.7155992693699083,0.8851432686233025,0.9581253901169658,0.8015443010293481,5.707922550821148,1.0833333333333333,1.1848316880561351,1.18378302956872,1.1111111111111112,1.243279667261283,0.7393638125247096,0.7271714396972895,0.7532280853108069,4.557028449040978,0.5555555555555556,0.6349987380235071,0.7795673730623491,0.7379647199694457,0.7205467638288704,0.1666673967460562,1.0,-0.5038584527732475,1.1355178071741088,1.1666666666666667,1.2668920552425604,1.4405694655777226,1.4186791428382175,0.7572257878886209,0.0,0.9696567177307251,-0.7699010571274117,1.1102909775033574
4745,2,5,4,4,3,3,1,1,5,4,3,3,3,4,4,1,5,5,2,4,5,5,5,5,3,3,5,4,5,4,5,5,4,5,Female,19,12 years,white,11,2,30,10,8,45,84,60.0,59.0,52.0,55.0,59.0,60.0,1.4722222222222223,1.5963538118839151,1.579916001409233,1.3611111111111112,1.7449722688003175,0.6752011467533531,0.7246746142122409,0.5918095486571727,5.898637681175397,2.0277777777777777,1.842905980457618,1.8382242698428373,1.4722222222222223,2.374488356161188,0.4627899383902636,0.4972921720245519,0.4255584792597008,4.496673812125436,1.5833333333333333,1.878144892274903,1.496946817067107,1.7859283553848555,0.5587718879033452,3.700161761333093,0.5573554373864276,0.0,1.0946985945997925,1.4166666666666667,1.9740589303743608,1.6146427642245962,1.974381440547197,0.5064292824482374,3.499982456794017,0.5281907387338312,0.0,1.0169288153485625
4750,1,2,4,2,1,1,1,1,3,2,1,1,1,2,4,1,4,5,1,4,4,4,4,4,4,2,5,4,5,3,3,3,4,5,Male,21,14,White/ non-hispanic,5,0,16,4,4,23,73,58.0,40.0,50.0,55.0,56.0,51.0,1.4444444444444444,1.7641005801955254,1.7204930203375168,1.9166666666666667,1.905548850225596,0.8037919544648645,0.7183904367214469,0.890962089908354,6.330523470341273,0.6944444444444444,1.149823879119091,1.1404069787018838,1.5,1.1995099890520262,0.9144260325240144,0.9623457481338537,0.8798711062895184,6.25087368306634,1.7222222222222223,1.8372698385763813,1.7283244419784958,1.9389111017879923,0.2861052652641598,3.355568915630004,0.5440781668720963,0.0,1.1496849769711968,0.9444444444444444,1.3140494118224508,1.1930989424203169,1.2448579668949842,0.4508659431515433,1.0724552665177425,0.9000934126739119,0.0,1.085455544153919
4751,2,3,3,3,1,3,4,1,4,3,2,3,2,3,4,1,5,5,2,4,4,5,5,3,4,5,5,5,5,4,3,5,5,5,Female,28,14,White,7,0,23,8,8,37,84,57.0,63.0,61.0,49.0,58.0,61.0,0.9166666666666666,1.4419276049612135,1.4156861243172338,1.6944444444444444,1.4127882532456326,0.9351726543947444,0.9997576745827964,0.8585899700232755,7.286555142818988,1.0555555555555556,1.437225440488769,1.4146129898887685,1.5277777777777777,1.387252149843259,0.8522195229590023,0.928510727279246,0.795417150481891,5.920286636006892,1.805555555555556,1.4442865567159708,2.075289827140647,2.078787531379504,0.8596744365619974,0.1990432074124875,0.9131956653129684,-0.3085262092181751,1.011382719275299,1.3055555555555556,1.3190703592764013,1.5194435071630312,1.509494661308976,0.6814741655372681,0.0137341392156122,0.9875102117759746,-0.5480638895837404,1.0912466712456192
4754,2,4,4,3,4,3,3,3,4,3,2,2,2,3,4,1,4,4,1,4,4,5,5,4,5,5,4,5,5,3,2,5,5,5,Male,19,13.5,White,10,3,25,9,10,42,80,57.0,58.0,57.0,57.0,52.0,60.0,1.3055555555555556,1.613751382557192,1.5690303051759529,1.3611111111111112,1.6808579526267615,0.6555298932003208,0.8906045970311034,0.5535775215284048,3.6978286816563055,1.6388888888888888,1.698308123179007,1.6973781087832451,1.3611111111111112,1.5661207224577671,0.5108148760257972,0.5206792833238958,0.5050280704105031,2.5885773643867886,1.5555555555555556,1.460592894154574,1.5656097629737704,1.6172401377036023,0.7442961751864803,1.177914502721202,0.696520315025413,-0.3888851157337097,1.0,1.3333333333333333,1.6176356543034385,1.292948245689777,1.3762383283409696,0.600603525196726,0.5715118867866354,0.7174920236594047,-0.8888918577624327,1.0
4761,3,4,4,4,2,3,2,1,5,3,3,3,2,3,4,1,5,5,1,4,5,5,5,5,4,4,4,4,4,5,4,5,4,5,Male,23,16,white,2,3,28,9,7,42,83,62.0,61.0,50.0,58.0,57.0,61.0,1.2222222222222223,1.4367688665047478,1.4321940192258642,1.2777777777777777,1.40879699232606,0.7201635675813585,0.6821603620677412,0.7632251878745722,4.481600909962943,0.75,1.0864236121733186,1.0503496386518782,1.1666666666666667,1.008759977558009,0.8702124333778901,0.9755145132822266,0.7720882494866552,5.465150074578792,1.0555555555555556,1.1936091701012437,1.0383412620814252,1.1587658000835026,0.5921232479940969,1.3276847233848104,0.6364644168835434,-0.3888857106446174,1.0,0.6666666666666666,0.7895729630902539,0.843697023716243,0.8479532570809795,0.6080335552800379,0.221793456905571,0.9528686974546288,-0.0259245658533955,1.004381442077475
4764,1,4,3,5,4,4,1,3,5,5,3,4,3,4,4,2,4,5,5,4,5,4,5,5,5,2,4,5,4,3,2,5,5,5,Male,19,14,White,7,7,29,13,10,49,83,57.0,44.0,64.0,46.0,44.0,52.0,1.2222222222222223,1.3413563263954835,1.266232747715187,1.3055555555555556,1.3788839109963744,0.7660315887503003,0.6477770550026318,0.8859767071863183,4.984807641676259,1.1388888888888888,1.4502557925690902,1.4384679660643471,1.5,1.4586533159178394,0.9321982026251604,0.8433436406220652,0.9804198111992544,8.0209762745545,1.1666666666666667,1.3817477427301803,1.515846895159153,1.5184792462498735,0.3207167152048465,0.1798720873633657,0.9458512840862484,-0.1560756159077309,1.0079841499559794,1.1111111111111112,1.2960568784834727,1.1958453115991072,1.256770316268677,0.4160527973043844,1.1909319171987738,0.8704533198418951,0.0,1.0711660292540364
4769,4,5,3,5,1,4,3,1,3,3,3,4,4,5,4,1,5,5,4,4,5,5,4,2,4,4,5,4,4,4,2,4,5,4,Male,19,14,White,9,0,33,12,7,48,79,58.0,55.0,56.0,35.0,54.0,52.0,1.1388888888888888,1.319235012140253,1.314362507226492,1.0277777777777777,1.3141793863074982,0.5550011663608383,0.4916512396737751,0.6231783598973859,2.8741853618593263,0.9444444444444444,1.0210962728004431,0.8957126839885379,0.8611111111111112,1.0458781708770497,0.4381698207777298,0.1448575946071833,0.7444440778820035,2.4629065889947888,1.1388888888888888,1.1974568538668164,1.1725443159165545,1.4041437243666488,0.047738320844832,4.931429238073846,0.0254980590600541,0.0,1.0172163109401295,0.6944444444444444,0.7215676682871962,0.494231512082157,0.8500099319410828,0.176020625470099,4.334164162996359,0.045457586997006,-0.3055565579109086,1.0
4771,2,5,2,4,5,4,2,3,5,3,3,5,5,4,4,2,4,4,2,4,4,4,5,4,4,2,4,5,5,5,2,3,4,4,Other,20,15,white,5,1,31,16,10,52,75,52.0,38.0,59.0,51.0,53.0,50.0,1.0,1.4525426940567785,1.4525426940567785,1.75,1.4525426940567785,1.0,1.0,1.0,9.0,1.8333333333333333,2.478102057360457,2.464574349129615,2.361111111111111,2.523954567885892,0.8535147569913063,0.910945482907778,0.7608227588389842,8.493393510871247,1.7777777777777777,2.064002497586189,1.5309002645208525,2.064737845294013,0.5018073079807319,4.388997971594438,0.3236606614049033,0.0,1.0080695492136778,2.2777777777777777,2.713824845092413,2.1746262882969973,2.7397957411763305,0.3895694238636817,5.779994750858953,0.1138926888185859,0.0,1.0234751302683511
4772,3,4,4,5,1,3,1,1,4,2,2,2,3,3,5,1,5,5,1,5,5,5,4,4,4,4,5,4,5,5,5,5,5,5,Female,20,15,caucasian,10,0,29,8,4,38,87,65.0,62.0,50.0,55.0,72.0,64.0,1.1944444444444444,1.4575946781571611,1.230339474477541,1.3333333333333333,1.7260070620189707,0.7432496423071939,0.9325108072714082,0.5206888784094553,5.466150260417567,1.75,1.9693445621729044,1.878825210241502,1.7777777777777777,2.260340962736568,0.7242718920988876,0.8560411793202545,0.589320787315703,6.070999770926356,1.2222222222222223,1.0399981212883955,1.5508384291395236,1.4398731513649554,0.8389647175511885,0.0,0.9707627474399037,-1.4022678718639812,1.1919190574582652,1.5,1.466236438111264,1.7673225466376818,1.7652330305740067,0.7412163488426997,0.0429944526906266,0.9840302974251572,-0.1743423788072039,1.0215742823862872
