"Prolific_ID","Participant.Device.Type","Trial.Number","Reaction.Time","Response","stimulus","modality"
4813,"computer","1",1299,"3","Cut_jazz_10.mp3","music"
4813,"computer","2",732,"4","Classical_4.mp3","music"
4813,"computer","3",776,"2","Classical_8.mp3","music"
4813,"computer","4",637,"2","Classical_17.mp3","music"
4813,"computer","5",1341,"2","Classical_6.mp3","music"
4813,"computer","6",1297,"5","Classical_7.mp3","music"
4813,"computer","7",1333,"3","Cut_jazz_14.mp3","music"
4813,"computer","8",488,"7","Classical_19.mp3","music"
4813,"computer","9",1309,"4","Cut_jazz_7.mp3","music"
4813,"computer","10",115,"3","Classical_1.mp3","music"
4813,"computer","11",1326,"2","Cut_jazz_16.mp3","music"
4813,"computer","12",815,"2","Classical_18.mp3","music"
4813,"computer","13",1218,"3","Cut_jazz_19.mp3","music"
4813,"computer","14",510,"3","Cut_jazz_5.mp3","music"
4813,"computer","15",638,"2","foil.mp3","music"
4813,"computer","16",1260,"3","Classical_2.mp3","music"
4813,"computer","17",1269,"5","Cut_jazz_1.mp3","music"
4813,"computer","18",1369,"2","Cut_jazz_2.mp3","music"
4813,"computer","19",822,"3","Classical_15.mp3","music"
4868,"computer","1",681,"7","Classical_18.mp3","music"
4868,"computer","2",817,"6","Classical_4.mp3","music"
4868,"computer","3",1373,"1","Cut_jazz_1.mp3","music"
4868,"computer","4",1347,"8","Cut_jazz_7.mp3","music"
4868,"computer","5",559,"5","Classical_17.mp3","music"
4868,"computer","6",646,"6","Cut_jazz_2.mp3","music"
4868,"computer","7",783,"7","Classical_8.mp3","music"
4868,"computer","8",1241,"6","Cut_jazz_14.mp3","music"
4868,"computer","9",661,"2","Cut_jazz_16.mp3","music"
4868,"computer","10",625,"4","Classical_2.mp3","music"
4868,"computer","11",745,"7","Classical_15.mp3","music"
4868,"computer","12",712,"7","Cut_jazz_19.mp3","music"
4868,"computer","13",734,"7","Classical_7.mp3","music"
4868,"computer","14",636,"6","Cut_jazz_10.mp3","music"
4868,"computer","15",813,"5","Cut_jazz_5.mp3","music"
4868,"computer","16",494,"7","Classical_19.mp3","music"
4868,"computer","17",509,"1","Classical_6.mp3","music"
4868,"computer","18",667,"2","foil.mp3","music"
4868,"computer","19",830,"8","Classical_1.mp3","music"
4881,"computer","1",1242,"5","Classical_1.mp3","music"
4881,"computer","2",829,"4","Classical_2.mp3","music"
4881,"computer","3",746,"4","Cut_jazz_1.mp3","music"
4881,"computer","4",621,"5","Classical_19.mp3","music"
4881,"computer","5",620,"9","Cut_jazz_14.mp3","music"
4881,"computer","6",614,"8","Cut_jazz_7.mp3","music"
4881,"computer","7",710,"3","Classical_17.mp3","music"
4881,"computer","8",612,"2","foil.mp3","music"
4881,"computer","9",522,"1","Classical_4.mp3","music"
4881,"computer","10",602,"3","Classical_15.mp3","music"
4881,"computer","11",1236,"5","Classical_18.mp3","music"
4881,"computer","12",655,"2","Classical_6.mp3","music"
4881,"computer","13",1206,"5","Classical_8.mp3","music"
4881,"computer","14",540,"7","Cut_jazz_19.mp3","music"
4881,"computer","15",808,"2","Cut_jazz_10.mp3","music"
4881,"computer","16",656,"2","Cut_jazz_16.mp3","music"
4881,"computer","17",1323,"5","Classical_7.mp3","music"
4881,"computer","18",645,"6","Cut_jazz_2.mp3","music"
4881,"computer","19",490,"3","Cut_jazz_5.mp3","music"
4828,"computer","1",806,"5","Classical_4.mp3","music"
4828,"computer","2",582,"6","Cut_jazz_16.mp3","music"
4828,"computer","3",587,"6","Cut_jazz_5.mp3","music"
4828,"computer","4",728,"5","Cut_jazz_10.mp3","music"
4828,"computer","5",651,"4","Classical_6.mp3","music"
4828,"computer","6",627,"6","Classical_8.mp3","music"
4828,"computer","7",833,"6","foil.mp3","music"
4828,"computer","8",1217,"5","Cut_jazz_19.mp3","music"
4828,"computer","9",778,"6","Classical_7.mp3","music"
4828,"computer","10",744,"5","Cut_jazz_2.mp3","music"
4828,"computer","11",616,"5","Classical_15.mp3","music"
4828,"computer","12",752,"5","Classical_19.mp3","music"
4828,"computer","13",610,"5","Classical_18.mp3","music"
4828,"computer","14",619,"6","Cut_jazz_7.mp3","music"
4828,"computer","15",755,"6","Classical_1.mp3","music"
4828,"computer","16",774,"5","Classical_2.mp3","music"
4828,"computer","17",685,"4","Classical_17.mp3","music"
4828,"computer","18",717,"5","Cut_jazz_1.mp3","music"
4828,"computer","19",766,"5","Cut_jazz_14.mp3","music"
4753,"computer","1",131,"7","Classical_17.mp3","music"
4753,"computer","2",121,"4","Classical_6.mp3","music"
4753,"computer","3",512,"5","Classical_18.mp3","music"
4753,"computer","4",103,"2","Cut_jazz_16.mp3","music"
4753,"computer","5",757,"7","Classical_7.mp3","music"
4753,"computer","6",563,"3","Classical_4.mp3","music"
4753,"computer","7",1366,"2","foil.mp3","music"
4753,"computer","8",725,"8","Classical_15.mp3","music"
4753,"computer","9",1363,"9","Classical_19.mp3","music"
4753,"computer","10",134,"9","Cut_jazz_14.mp3","music"
4753,"computer","11",1293,"9","Cut_jazz_2.mp3","music"
4753,"computer","12",1304,"9","Classical_1.mp3","music"
4753,"computer","13",1268,"9","Cut_jazz_7.mp3","music"
4753,"computer","14",605,"7","Classical_2.mp3","music"
4753,"computer","15",592,"6","Cut_jazz_19.mp3","music"
4753,"computer","16",650,"5","Classical_8.mp3","music"
4753,"computer","17",640,"4","Cut_jazz_1.mp3","music"
4753,"computer","18",543,"1","Cut_jazz_10.mp3","music"
4753,"computer","19",617,"3","Cut_jazz_5.mp3","music"
4870,"computer","1",837,"4","Cut_jazz_7.mp3","music"
4870,"computer","2",782,"5","Classical_6.mp3","music"
4870,"computer","3",1288,"6","Classical_18.mp3","music"
4870,"computer","4",779,"5","Cut_jazz_14.mp3","music"
4870,"computer","5",1319,"3","Cut_jazz_5.mp3","music"
4870,"computer","6",1336,"3","Classical_4.mp3","music"
4870,"computer","7",569,"8","Classical_7.mp3","music"
4870,"computer","8",801,"6","Cut_jazz_2.mp3","music"
4870,"computer","9",742,"4","Classical_15.mp3","music"
4870,"computer","10",557,"6","Classical_1.mp3","music"
4870,"computer","11",799,"8","Classical_19.mp3","music"
4870,"computer","12",753,"4","Classical_8.mp3","music"
4870,"computer","13",784,"5","Classical_2.mp3","music"
4870,"computer","14",764,"4","Cut_jazz_19.mp3","music"
4870,"computer","15",1256,"3","Cut_jazz_10.mp3","music"
4870,"computer","16",105,"2","Cut_jazz_16.mp3","music"
4870,"computer","17",765,"4","Cut_jazz_1.mp3","music"
4870,"computer","18",1353,"2","foil.mp3","music"
4870,"computer","19",1211,"4","Classical_17.mp3","music"
4823,"computer","1",609,"3","Cut_jazz_5.mp3","music"
4823,"computer","2",571,"2","Classical_15.mp3","music"
4823,"computer","3",1329,"5","Classical_2.mp3","music"
4823,"computer","4",118,"8","Cut_jazz_7.mp3","music"
4823,"computer","5",542,"5","Cut_jazz_1.mp3","music"
4823,"computer","6",1278,"7","Classical_7.mp3","music"
4823,"computer","7",662,"8","Classical_18.mp3","music"
4823,"computer","8",707,"6","Classical_1.mp3","music"
4823,"computer","9",111,"8","Classical_19.mp3","music"
4823,"computer","10",514,"3","Classical_6.mp3","music"
4823,"computer","11",577,"4","Classical_17.mp3","music"
4823,"computer","12",529,"8","Cut_jazz_2.mp3","music"
4823,"computer","13",122,"6","Classical_8.mp3","music"
4823,"computer","14",532,"2","foil.mp3","music"
4823,"computer","15",1361,"8","Cut_jazz_19.mp3","music"
4823,"computer","16",106,"5","Cut_jazz_10.mp3","music"
4823,"computer","17",123,"7","Cut_jazz_16.mp3","music"
4823,"computer","18",1339,"3","Classical_4.mp3","music"
4823,"computer","19",1322,"8","Cut_jazz_14.mp3","music"
4849,"computer","1",129,"2","Classical_2.mp3","music"
4849,"computer","2",760,"2","foil.mp3","music"
4849,"computer","3",798,"3","Cut_jazz_7.mp3","music"
4849,"computer","4",729,"1","Cut_jazz_5.mp3","music"
4849,"computer","5",634,"2","Cut_jazz_19.mp3","music"
4849,"computer","6",1251,"2","Classical_6.mp3","music"
4849,"computer","7",715,"7","Classical_1.mp3","music"
4849,"computer","8",770,"4","Classical_4.mp3","music"
4849,"computer","9",613,"5","Classical_17.mp3","music"
4849,"computer","10",1332,"3","Cut_jazz_14.mp3","music"
4849,"computer","11",126,"8","Classical_19.mp3","music"
4849,"computer","12",1261,"1","Cut_jazz_10.mp3","music"
4849,"computer","13",718,"2","Cut_jazz_2.mp3","music"
4849,"computer","14",675,"8","Classical_15.mp3","music"
4849,"computer","15",1314,"9","Classical_7.mp3","music"
4849,"computer","16",516,"9","Classical_8.mp3","music"
4849,"computer","17",599,"6","Classical_18.mp3","music"
4849,"computer","18",1307,"1","Cut_jazz_16.mp3","music"
4849,"computer","19",1258,"1","Cut_jazz_1.mp3","music"
4799,"computer","1",772,"7","Classical_8.mp3","music"
4799,"computer","2",1331,"4","Classical_15.mp3","music"
4799,"computer","3",670,"5","Classical_6.mp3","music"
4799,"computer","4",1292,"8","Cut_jazz_2.mp3","music"
4799,"computer","5",608,"6","Cut_jazz_1.mp3","music"
4799,"computer","6",109,"2","foil.mp3","music"
4799,"computer","7",576,"6","Cut_jazz_19.mp3","music"
4799,"computer","8",1281,"1","Classical_4.mp3","music"
4799,"computer","9",1340,"4","Cut_jazz_5.mp3","music"
4799,"computer","10",1287,"5","Cut_jazz_16.mp3","music"
