participant,trialPerBlock,runningTrialNumber,rating,rt,cueTime,image,music,cued,baselineImage,baselineMusic,baselineTarget,baselineDistractor,cuedImage,cuedMusic,baselinesMean,predRating,diffRatePred
4792,4,0,1,1156.09999996424,Post,image34.jpg,Classical_1.mp3,Image,1.0,4.0,1.0,4.0,image34.jpg,,2.5,1.0,0.0
4792,5,1,2,1478.09999996424,Post,image17.jpg,Classical_18.mp3,Image,2.0,4.0,2.0,4.0,image17.jpg,,3.0,2.0,0.0
4792,6,2,3,1002.5,Post,image35.jpg,Classical_4.mp3,Image,1.0,1.0,1.0,1.0,image35.jpg,,1.0,1.0,2.0
4792,7,3,4,1618.30000001192,Post,image52.jpg,Cut_jazz_5.mp3,Both,8.0,1.0,,,image52.jpg,Cut_jazz_5.mp3,4.5,4.5,-0.5
4792,8,4,2,1441.80000001192,Post,image4.jpg,Cut_jazz_1.mp3,Music,1.0,2.0,2.0,1.0,,Cut_jazz_1.mp3,1.5,2.0,0.0
4792,9,5,6,1071.19999998808,Post,image20.jpg,Classical_6.mp3,Image,6.0,1.0,6.0,1.0,image20.jpg,,3.5,6.0,0.0
4792,10,6,5,783.699999988079,Post,image12.jpg,Cut_jazz_16.mp3,Music,3.0,1.0,1.0,3.0,,Cut_jazz_16.mp3,2.0,1.0,4.0
4792,11,7,1,800.199999988079,Post,image4.jpg,Classical_19.mp3,Both,1.0,5.0,,,image4.jpg,Classical_19.mp3,3.0,3.0,-2.0
4792,12,8,4,1516.80000001192,Post,image2.jpg,Classical_8.mp3,Both,2.0,5.0,,,image2.jpg,Classical_8.mp3,3.5,3.5,0.5
4792,13,9,1,1071.19999998808,Post,image14.jpg,Classical_18.mp3,Both,1.0,4.0,,,image14.jpg,Classical_18.mp3,2.5,2.5,-1.5
4792,14,10,2,1247.30000001192,Post,image1.jpg,Cut_jazz_16.mp3,Image,2.0,1.0,2.0,1.0,image1.jpg,,1.5,2.0,0.0
4792,15,11,4,727.899999976158,Post,image5.jpg,Cut_jazz_10.mp3,Music,7.0,2.0,2.0,7.0,,Cut_jazz_10.mp3,4.5,2.0,2.0
4792,16,12,7,1019.20000004768,Post,image36.jpg,Cut_jazz_2.mp3,Both,1.0,5.0,,,image36.jpg,Cut_jazz_2.mp3,3.0,3.0,4.0
