participant,AREA_1,AREA_2,AREA_3,AREA_4,AREA_5,AREA_6,AREA_7,AREA_8,AREA_9,AREA_10,AREA_11,AREA_12,AREA_13,AREA_14,BMRQ_1,BMRQ_2,BMRQ_3,BMRQ_4,BMRQ_5,BMRQ_6,BMRQ_7,BMRQ_8,BMRQ_9,BMRQ_10,BMRQ_11,BMRQ_12,BMRQ_13,BMRQ_14,BMRQ_15,BMRQ_16,BMRQ_17,BMRQ_18,BMRQ_19,BMRQ_20,Sex,Age,Ed,Race,YrsMusic,YrsArt,AReA_aesthApp,AReA_intAesthExp,AReA_creatBehav,AReA_total,BMRQ_sum,BMRQ_musicSeeking,BMRQ_emoEvoc,BMRQ_moodReg,BMRQ_sensMot,BMRQ_social,BMRQ_musicRew
4736,0,2,3,1,1,1,1,1,3,2,1,1,1,1,3.0,1,5,4,3,2,3,4,3,2,4,1,3,4,5,3,2,5,3,5,Male,18,13.0,Indian,1.0,1.0,12,4,4,19,65.0,55.0,46.0,46.0,39.0,35.0,42.0
4739,0,4,4,1,2,3,1,1,5,3,2,1,2,5,4.0,1,4,4,1,5,5,5,4,5,5,5,4,4,2,2,2,2,4,2,Female,19,12.0,White,0.0,1.0,24,6,6,34,70.0,57.0,47.0,39.0,49.0,52.0,48.0
4740,1,5,4,5,5,4,5,3,5,5,3,3,4,5,5.0,1,5,5,4,5,5,5,5,1,5,5,5,5,5,2,2,5,5,5,Female,20,15.0,Hispanic,2.0,3.0,33,13,15,57,85.0,62.0,62.0,64.0,36.0,56.0,58.0
4742,2,3,4,3,2,4,1,2,3,4,3,2,3,4,4.0,1,3,5,3,5,4,5,5,4,5,4,3,5,5,4,3,4,5,5,Male,19,13.5,white,5.0,2.0,26,10,7,40,82.0,61.0,48.0,61.0,51.0,55.0,58.0
4747,3,5,2,5,5,5,4,2,5,4,4,4,4,5,5.0,1,5,5,1,5,4,4,5,5,5,3,5,5,5,5,3,4,5,5,Female,18,12.5,White/caucasian,2.0,8.0,34,14,13,57,85.0,62.0,49.0,61.0,61.0,66.0,63.0
4749,2,3,4,5,1,4,1,1,3,2,3,1,1,2,5.0,1,5,5,1,4,4,5,5,5,5,5,4,5,5,4,2,5,5,5,Female,18,12.0,White,7.0,0.0,24,6,4,33,85.0,59.0,62.0,61.0,61.0,55.0,64.0
4753,4,5,4,5,2,4,1,1,4,5,3,5,5,5,5.0,1,4,5,1,5,4,5,5,5,5,2,3,5,4,3,4,5,5,5,Female,19,13.0,White,5.0,2.0,36,14,8,53,81.0,62.0,52.0,58.0,57.0,59.0,60.0
4755,1,3,2,3,1,3,1,2,5,2,1,1,2,4,4.0,1,4,4,1,3,4,4,3,4,5,4,1,2,4,2,1,2,3,5,Male,19,14.0,White,7.0,0.0,23,6,4,31,61.0,56.0,40.0,30.0,56.0,34.0,40.0
4758,0,2,2,3,1,2,1,1,3,2,1,1,2,2,4.0,1,4,4,3,4,4,4,4,2,4,3,3,4,3,5,2,4,4,3,Male,19,13.0,White,0.0,0.0,16,5,4,23,69.0,55.0,44.0,47.0,33.0,55.0,44.0
4760,1,1,2,1,1,1,1,1,3,3,2,2,2,1,4.0,2,4,4,2,4,3,5,4,3,3,2,1,4,2,2,1,2,3,3,Male,22,15.0,White,3.0,3.0,12,7,5,22,58.0,41.0,39.0,43.0,38.0,40.0,36.0
4763,2,4,3,3,5,4,2,1,4,4,2,3,3,3,4.0,1,5,5,2,5,4,5,5,4,5,3,4,5,5,5,3,5,5,4,Male,19,14.0,American Indian,10.0,12.0,26,9,11,43,84.0,62.0,57.0,62.0,51.0,59.0,62.0
4773,2,4,4,4,3,2,1,1,4,3,1,2,2,3,5.0,1,4,5,1,5,5,3,3,5,5,2,4,5,5,5,5,5,4,4,Male,18,12.0,white,1.0,2.0,25,6,7,36,81.0,71.0,43.0,46.0,56.0,66.0,57.0
4779,3,3,4,3,2,3,3,1,4,3,1,2,3,3,4.0,2,4,5,1,4,3,5,5,5,5,5,3,4,5,5,3,4,4,5,Female,19,14.0,White,6.0,1.0,26,7,8,38,81.0,55.0,55.0,51.0,62.0,54.0,58.0
4783,1,2,3,1,1,3,1,1,4,3,1,1,1,2,4.0,1,5,4,1,4,4,5,4,5,3,2,1,4,5,3,3,5,4,5,Male,19,12.0,White,3.0,1.0,17,4,5,25,72.0,54.0,55.0,49.0,58.0,43.0,53.0
4790,2,5,4,4,2,3,4,2,4,5,3,3,3,3,4.0,1,5,5,1,5,5,5,5,5,5,5,4,5,5,4,4,5,5,5,Female,20,15.0,African American,1.0,12.0,28,11,11,47,88.0,66.0,63.0,57.0,62.0,58.0,66.0
4792,0,2,2,2,3,2,1,1,4,3,1,1,1,2,4.0,2,3,4,5,3,3,1,4,2,4,1,2,4,4,3,4,5,5,5,Male,19,13.0,White ,6.0,1.0,15,4,7,25,68.0,52.0,27.0,49.0,31.0,49.0,37.0
4793,1,3,2,2,3,2,1,1,4,2,2,1,2,2,2.0,1,4,5,2,4,4,5,4,2,4,3,3,4,4,2,2,4,4,5,Male,19,13.5,white,2.0,0.5,18,6,6,28,68.0,56.0,49.0,49.0,44.0,39.0,47.0
4797,1,4,1,2,2,3,1,1,3,4,4,3,3,4,3.0,2,4,4,2,5,3,5,2,1,5,5,4,5,5,1,3,4,4,5,Male,18,12.0,white,0.0,3.0,21,11,7,36,72.0,55.0,54.0,40.0,43.0,50.0,47.0
4799,1,2,3,2,1,2,1,1,3,1,1,1,1,1,4.0,1,5,4,2,4,3,4,5,4,4,2,3,5,4,3,1,2,5,5,Male,20,15.0,white,2.0,0.0,15,4,3,21,70.0,49.0,38.0,62.0,52.0,46.0,50.0
4802,2,5,2,3,3,2,2,4,2,3,3,3,3,3,,3,3,2,1,5,4,5,3,4,4,4,5,4,5,4,4,5,3,4,Male,19,13.0,cracker,7.0,3.0,22,13,8,40,,,,,,,
4813,1,4,4,5,1,3,1,3,3,1,3,3,2,3,2.0,1,5,4,2,3,3,4,4,3,2,2,2,4,4,3,4,4,4,4,Male,19,13.0,White,0.0,0.0,25,11,3,37,64.0,49.0,47.0,46.0,42.0,41.0,43.0
4820,2,4,3,3,2,4,2,2,3,2,2,4,3,3,4.0,2,4,4,2,4,4,4,4,4,4,2,4,4,4,4,3,4,4,4,Male,18,13.0,white,1.0,0.0,25,11,6,39,73.0,53.0,42.0,46.0,48.0,55.0,47.0
4822,1,4,3,3,1,4,2,1,3,2,1,3,4,5,5.0,1,4,3,4,5,3,4,3,2,4,1,5,4,2,1,4,5,5,5,Female,18,12.0,caucasian ,10.0,0.0,27,9,5,37,70.0,52.0,44.0,40.0,30.0,68.0,43.0
4823,1,4,2,4,3,3,1,1,4,2,3,3,3,4,3.0,2,3,4,1,3,3,2,4,4,4,2,5,4,4,2,1,3,4,4,Female,18,12.5,White,8.0,0.0,25,10,6,38,62.0,44.0,26.0,44.0,52.0,46.0,39.0
4831,1,4,4,3,2,4,1,1,5,3,1,2,2,3,5.0,1,5,5,1,5,5,5,5,5,5,2,4,5,5,5,4,5,5,5,Male,19,13.5,White,4.0,0.0,26,6,6,36,87.0,67.0,55.0,61.0,59.0,63.0,65.0
4848,2,4,4,4,1,3,5,1,4,4,1,2,2,2,5.0,1,5,5,3,5,5,5,5,3,5,5,2,5,5,3,4,5,5,5,Male,21,15.0,mixed race,6.0,1.0,25,6,10,39,86.0,67.0,63.0,60.0,46.0,52.0,61.0
4849,2,4,3,3,3,4,3,2,5,4,2,3,3,4,4.0,2,5,4,1,3,4,4,4,3,5,4,2,4,3,4,2,4,5,4,Female,20,13.0,White,2.0,3.0,28,10,10,45,71.0,53.0,51.0,47.0,47.0,46.0,48.0
4851,3,4,3,3,2,4,2,1,4,3,2,3,3,4,4.0,1,5,5,1,4,4,5,4,5,5,2,4,4,5,5,5,4,4,4,Male,21,15.0,White,8.0,3.0,28,9,7,41,80.0,67.0,52.0,48.0,56.0,59.0,58.0
4852,1,5,3,3,1,1,1,1,3,1,1,1,1,3,5.0,3,5,5,5,4,4,3,5,1,4,3,4,5,4,2,4,5,5,3,Male,20,15.0,white,5.0,2.0,20,4,3,26,79.0,51.0,49.0,60.0,22.0,54.0,46.0
4860,1,3,3,2,1,1,1,1,3,3,1,1,1,1,4.0,1,3,4,4,4,4,4,5,1,4,4,2,4,4,4,3,4,4,4,Male,22,16.5,White,3.0,1.0,15,4,5,23,71.0,57.0,44.0,51.0,30.0,52.0,45.0
4862,3,2,3,2,2,2,1,1,4,1,2,2,2,1,4.0,1,3,4,2,4,4,5,4,3,2,4,4,4,5,3,4,5,4,5,Male,24,18.0,White/Mexican,8.0,1.0,19,7,4,28,74.0,51.0,54.0,45.0,47.0,60.0,51.0
4868,4,5,2,4,5,5,3,3,5,3,4,4,5,4,2.0,3,4,4,1,5,4,5,4,5,4,3,4,3,4,3,2,5,4,4,Female,19,14.0,white,5.0,1.0,34,16,11,56,73.0,46.0,53.0,38.0,58.0,47.0,48.0
4869,1,3,1,3,4,4,1,2,4,4,3,2,3,3,3.0,2,2,3,5,2,2,2,3,1,3,1,1,4,2,2,1,4,3,3,Male,19,13.5,white,0.0,0.0,22,10,9,38,49.0,38.0,21.0,37.0,19.0,33.0,20.0
4870,1,4,2,3,1,3,1,1,3,2,2,1,2,2,4.0,1,5,4,2,3,4,5,4,2,3,4,3,4,5,3,2,5,4,4,Male,19,13.0,Caucasian,5.0,1.0,20,6,4,28,71.0,52.0,60.0,50.0,40.0,45.0,50.0
4871,1,4,3,4,2,3,2,1,5,2,1,3,3,4,4.0,1,5,4,1,4,4,5,5,5,4,3,4,4,4,3,3,2,4,4,Male,19,14.0,African American,4.0,1.0,27,8,6,38,73.0,55.0,46.0,50.0,56.0,52.0,52.0
4876,1,3,3,3,3,3,2,1,4,4,2,2,3,4,5.0,2,3,4,2,5,5,4,4,3,4,2,1,4,3,4,3,5,5,4,Male,19,13.0,White/Cocasion,3.0,4.0,24,8,9,38,72.0,55.0,43.0,47.0,42.0,56.0,47.0
4877,2,5,3,4,5,4,1,1,3,4,3,3,3,3,5.0,1,4,4,4,4,4,4,5,1,4,2,2,5,5,5,1,5,5,5,Female,19,13.0,white,0.0,4.0,27,10,10,44,75.0,55.0,45.0,67.0,34.0,51.0,51.0
4878,2,4,4,5,3,5,3,1,5,3,4,3,4,5,4.0,1,5,5,2,4,4,4,5,4,3,2,2,5,4,4,2,5,5,5,Male,20,15.0,White,2.0,1.0,34,12,9,51,75.0,52.0,50.0,63.0,50.0,47.0,54.0
4881,0,3,1,1,1,3,1,1,5,2,1,2,2,3,2.0,3,3,4,2,2,1,1,3,2,1,1,1,5,3,3,1,2,4,4,Male,20,15.0,Caucasion,0.5,1.0,18,6,4,26,48.0,26.0,15.0,47.0,38.0,34.0,24.0
