,bestModel_preOne,bestModel_postOne,bestModel_preBoth,bestModel_postBoth,participant
0,accurate,accurate,averaging,compress,4736
1,accurate,averaging,compress,compress,4739
2,accurate,accurate,extreme,averaging,4740
3,accurate,accurate,averaging,compress,4742
4,linear_modality,averaging,compress,linear_modality,4747
5,accurate,accurate,averaging,averaging,4749
6,accurate,accurate,averaging,averaging,4753
7,averaging,accurate,compress,averaging,4755
8,accurate,accurate,averaging,averaging,4758
9,accurate,accurate,compress,linear_modality,4760
10,accurate,accurate,averaging,extreme,4763
11,averaging,accurate,averaging,averaging,4773
12,accurate,averaging,extreme,averaging,4779
13,accurate,accurate,averaging,compress,4783
14,accurate,accurate,averaging,averaging,4790
15,accurate,averaging,averaging,averaging,4792
16,accurate,accurate,averaging,averaging,4793
17,accurate,accurate,averaging,averaging,4797
18,accurate,accurate,averaging,averaging,4799
19,accurate,accurate,compress,compress,4802
20,averaging,averaging,averaging,compress,4813
21,averaging,averaging,compress,averaging,4820
22,accurate,accurate,averaging,compress,4822
23,accurate,accurate,linear_modality,compress,4823
24,accurate,accurate,averaging,averaging,4831
25,averaging,accurate,averaging,averaging,4848
26,accurate,accurate,linear_modality,averaging,4849
27,accurate,averaging,averaging,compress,4851
28,averaging,averaging,averaging,compress,4852
29,accurate,accurate,compress,compress,4860
30,accurate,accurate,averaging,averaging,4862
31,averaging,averaging,averaging,averaging,4868
32,accurate,averaging,linear_modality,compress,4869
33,accurate,accurate,averaging,averaging,4870
34,averaging,averaging,averaging,compress,4871
35,accurate,accurate,extreme,averaging,4876
36,accurate,averaging,averaging,averaging,4877
37,averaging,accurate,extreme,compress,4878
38,accurate,accurate,linear_modality,averaging,4881
