"Prolific_ID","Participant.Device.Type","Trial.Number","Reaction.Time","Response","stimulus","modality"
"5c911ccff618f500163a77bf","computer","1","1468","2","Classical_15.mp3","music"
"5c911ccff618f500163a77bf","computer","2","1113","5","Classical_1.mp3","music"
"5c911ccff618f500163a77bf","computer","3","1440","2","foil.mp3","music"
"5c911ccff618f500163a77bf","computer","4","1351","3","Classical_17.mp3","music"
"5c911ccff618f500163a77bf","computer","5","1340","6","Cut_jazz_19.mp3","music"
"5c911ccff618f500163a77bf","computer","6","1660","7","Classical_2.mp3","music"
"5c911ccff618f500163a77bf","computer","7","1397","7","Classical_8.mp3","music"
"5c911ccff618f500163a77bf","computer","8","950","2","Cut_jazz_16.mp3","music"
"5c911ccff618f500163a77bf","computer","9","1511","6","Cut_jazz_14.mp3","music"
"5c911ccff618f500163a77bf","computer","10","1471","5","Classical_6.mp3","music"
"5c911ccff618f500163a77bf","computer","11","720","1","Classical_4.mp3","music"
"5c911ccff618f500163a77bf","computer","12","1258","8","Classical_7.mp3","music"
"5c911ccff618f500163a77bf","computer","13","976","2","Cut_jazz_1.mp3","music"
"5c911ccff618f500163a77bf","computer","14","1283","8","Classical_19.mp3","music"
"5c911ccff618f500163a77bf","computer","15","1000","5","Cut_jazz_7.mp3","music"
"5c911ccff618f500163a77bf","computer","16","1177","2","Cut_jazz_10.mp3","music"
"5c911ccff618f500163a77bf","computer","17","1281","7","Cut_jazz_2.mp3","music"
"5c911ccff618f500163a77bf","computer","18","1000","6","Cut_jazz_5.mp3","music"
"5c911ccff618f500163a77bf","computer","19","1093","8","Classical_18.mp3","music"
"5df1fbdb99b2820fcfa3fa37","computer","1","3958","4","Cut_jazz_2.mp3","music"
"5df1fbdb99b2820fcfa3fa37","computer","2","2592","2","Classical_8.mp3","music"
"5df1fbdb99b2820fcfa3fa37","computer","3","2211","2","Classical_15.mp3","music"
"5df1fbdb99b2820fcfa3fa37","computer","4","1201","1","Cut_jazz_5.mp3","music"
"5df1fbdb99b2820fcfa3fa37","computer","5","1192","1","Classical_18.mp3","music"
"5df1fbdb99b2820fcfa3fa37","computer","6","3060","3","Classical_19.mp3","music"
"5df1fbdb99b2820fcfa3fa37","computer","7","866","2","Cut_jazz_7.mp3","music"
"5df1fbdb99b2820fcfa3fa37","computer","8","811","2","Classical_4.mp3","music"
"5df1fbdb99b2820fcfa3fa37","computer","9","14898","4","foil.mp3","music"
"5df1fbdb99b2820fcfa3fa37","computer","10","19005","2","Classical_6.mp3","music"
"5df1fbdb99b2820fcfa3fa37","computer","11","3776","3","Cut_jazz_14.mp3","music"
"5df1fbdb99b2820fcfa3fa37","computer","12","1814","1","Cut_jazz_19.mp3","music"
"5df1fbdb99b2820fcfa3fa37","computer","13","804","1","Cut_jazz_1.mp3","music"
"5df1fbdb99b2820fcfa3fa37","computer","14","863","1","Classical_2.mp3","music"
"5df1fbdb99b2820fcfa3fa37","computer","15","2024","3","Classical_7.mp3","music"
"5df1fbdb99b2820fcfa3fa37","computer","16","10788","2","Classical_17.mp3","music"
"5df1fbdb99b2820fcfa3fa37","computer","17","2806","4","Cut_jazz_10.mp3","music"
"5df1fbdb99b2820fcfa3fa37","computer","18","1619","6","Classical_1.mp3","music"
"5df1fbdb99b2820fcfa3fa37","computer","19","1259","2","Cut_jazz_16.mp3","music"
"5d42486206811e001ada5b4b","computer","1","3856.29999995232","8","Classical_7.mp3","music"
"5d42486206811e001ada5b4b","computer","2","1209.89999997616","6","Cut_jazz_10.mp3","music"
"5d42486206811e001ada5b4b","computer","3","1777.80000007153","5","Cut_jazz_1.mp3","music"
"5d42486206811e001ada5b4b","computer","4","1670.10000002384","8","Classical_6.mp3","music"
"5d42486206811e001ada5b4b","computer","5","2176.10000002384","8","Classical_15.mp3","music"
"5d42486206811e001ada5b4b","computer","6","1416.30000007153","7","Classical_4.mp3","music"
"5d42486206811e001ada5b4b","computer","7","1639.20000004768","8","Cut_jazz_5.mp3","music"
"5d42486206811e001ada5b4b","computer","8","1453.89999997616","9","Classical_1.mp3","music"
