participant,trialPerBlock,runningTrialNumber,rating,rt,cueTime,image,music,cued,baselineImage,baselineMusic,baselineTarget,baselineDistractor,cuedImage,cuedMusic,baselinesMean,predRating,diffRatePred
5ddb5ed4a64380abb2907440,4,0,1,1216.0,Post,image34.jpg,Classical_1.mp3,Image,1.0,6.0,1.0,6.0,image34.jpg,,3.5,1.0,0.0
5ddb5ed4a64380abb2907440,5,1,7,868.0,Post,image17.jpg,Classical_18.mp3,Image,7.0,4.0,7.0,4.0,image17.jpg,,5.5,7.0,0.0
5ddb5ed4a64380abb2907440,6,2,2,959.0,Post,image35.jpg,Classical_4.mp3,Image,5.0,6.0,5.0,6.0,image35.jpg,,5.5,5.0,-3.0
5ddb5ed4a64380abb2907440,7,3,6,1791.0,Post,image52.jpg,Cut_jazz_5.mp3,Both,7.0,2.0,,,image52.jpg,Cut_jazz_5.mp3,4.5,4.5,1.5
5ddb5ed4a64380abb2907440,8,4,4,4172.0,Post,image4.jpg,Cut_jazz_1.mp3,Music,1.0,3.0,3.0,1.0,,Cut_jazz_1.mp3,2.0,3.0,1.0
5ddb5ed4a64380abb2907440,9,5,8,1580.0,Post,image20.jpg,Classical_6.mp3,Image,7.0,5.0,7.0,5.0,image20.jpg,,6.0,7.0,1.0
5ddb5ed4a64380abb2907440,10,6,4,1861.0,Post,image12.jpg,Cut_jazz_16.mp3,Music,2.0,4.0,4.0,2.0,,Cut_jazz_16.mp3,3.0,4.0,0.0
5ddb5ed4a64380abb2907440,11,7,1,1422.0,Post,image4.jpg,Classical_19.mp3,Both,1.0,7.0,,,image4.jpg,Classical_19.mp3,4.0,4.0,-3.0
5ddb5ed4a64380abb2907440,12,8,7,1251.0,Post,image2.jpg,Classical_8.mp3,Both,8.0,5.0,,,image2.jpg,Classical_8.mp3,6.5,6.5,0.5
5ddb5ed4a64380abb2907440,13,9,5,1343.0,Post,image14.jpg,Classical_18.mp3,Both,8.0,4.0,,,image14.jpg,Classical_18.mp3,6.0,6.0,-1.0
5ddb5ed4a64380abb2907440,14,10,1,1390.0,Post,image1.jpg,Cut_jazz_16.mp3,Image,2.0,4.0,2.0,4.0,image1.jpg,,3.0,2.0,-1.0
5ddb5ed4a64380abb2907440,15,11,4,2093.0,Post,image5.jpg,Cut_jazz_10.mp3,Music,8.0,2.0,2.0,8.0,,Cut_jazz_10.mp3,5.0,2.0,2.0
5ddb5ed4a64380abb2907440,16,12,4,1287.0,Post,image36.jpg,Cut_jazz_2.mp3,Both,2.0,4.0,,,image36.jpg,Cut_jazz_2.mp3,3.0,3.0,1.0
5ddb5ed4a64380abb2907440,17,13,7,1489.0,Post,image14.jpg,Classical_15.mp3,Music,8.0,5.0,5.0,8.0,,Classical_15.mp3,6.5,5.0,2.0
5ddb5ed4a64380abb2907440,18,14,4,1844.0,Post,image10.jpg,Cut_jazz_16.mp3,Both,3.0,4.0,,,image10.jpg,Cut_jazz_16.mp3,3.5,3.5,0.5
5ddb5ed4a64380abb2907440,19,15,7,975.0,Post,image20.jpg,Classical_8.mp3,Music,7.0,5.0,5.0,7.0,,Classical_8.mp3,6.0,5.0,2.0
5ddb5ed4a64380abb2907440,20,16,6,968.0,Post,image33.jpg,Classical_1.mp3,Music,3.0,6.0,6.0,3.0,,Classical_1.mp3,4.5,6.0,0.0
5ddb5ed4a64380abb2907440,21,17,9,1308.0,Post,image14.jpg,Classical_17.mp3,Image,8.0,5.0,8.0,5.0,image14.jpg,,6.5,8.0,1.0
5ddb5ed4a64380abb2907440,22,18,3,1239.0,Post,image35.jpg,Classical_2.mp3,Music,5.0,5.0,5.0,5.0,,Classical_2.mp3,5.0,5.0,-2.0
5ddb5ed4a64380abb2907440,23,19,6,1474.0,Post,image39.jpg,Cut_jazz_1.mp3,Both,6.0,3.0,,,image39.jpg,Cut_jazz_1.mp3,4.5,4.5,1.5
5ddb5ed4a64380abb2907440,24,20,1,916.0,Post,image15.jpg,Classical_15.mp3,Image,1.0,5.0,1.0,5.0,image15.jpg,,3.0,1.0,0.0
5ddb5ed4a64380abb2907440,25,21,2,2868.0,Post,image12.jpg,Cut_jazz_14.mp3,Both,2.0,7.0,,,image12.jpg,Cut_jazz_14.mp3,4.5,4.5,-2.5
5ddb5ed4a64380abb2907440,26,22,6,1313.0,Post,image36.jpg,Classical_19.mp3,Music,2.0,7.0,7.0,2.0,,Classical_19.mp3,4.5,7.0,-1.0
5ddb5ed4a64380abb2907440,27,23,6,1755.0,Post,image3.jpg,Classical_7.mp3,Music,7.0,6.0,6.0,7.0,,Classical_7.mp3,6.5,6.0,0.0
5ddb5ed4a64380abb2907440,28,24,5,1377.0,Post,image17.jpg,Classical_17.mp3,Music,7.0,5.0,5.0,7.0,,Classical_17.mp3,6.0,5.0,0.0
5ddb5ed4a64380abb2907440,29,25,6,2456.0,Post,image34.jpg,Classical_4.mp3,Music,1.0,6.0,6.0,1.0,,Classical_4.mp3,3.5,6.0,0.0
5ddb5ed4a64380abb2907440,30,26,5,1109.0,Post,image15.jpg,Classical_18.mp3,Music,1.0,4.0,4.0,1.0,,Classical_18.mp3,2.5,4.0,1.0
5ddb5ed4a64380abb2907440,31,27,2,1941.0,Post,image12.jpg,Cut_jazz_19.mp3,Image,2.0,6.0,2.0,6.0,image12.jpg,,4.0,2.0,0.0
5ddb5ed4a64380abb2907440,32,28,7,1822.0,Post,image2.jpg,Classical_6.mp3,Music,8.0,5.0,5.0,8.0,,Classical_6.mp3,6.5,5.0,2.0
5ddb5ed4a64380abb2907440,33,29,7,868.0,Post,image3.jpg,Classical_8.mp3,Image,7.0,5.0,7.0,5.0,image3.jpg,,6.0,7.0,0.0
5ddb5ed4a64380abb2907440,34,30,6,1271.0,Post,image52.jpg,Cut_jazz_7.mp3,Music,7.0,5.0,5.0,7.0,,Cut_jazz_7.mp3,6.0,5.0,1.0
5ddb5ed4a64380abb2907440,35,31,3,2185.0,Post,image10.jpg,Cut_jazz_14.mp3,Image,3.0,7.0,3.0,7.0,image10.jpg,,5.0,3.0,0.0
5ddb5ed4a64380abb2907440,36,32,5,1584.0,Post,image35.jpg,Classical_1.mp3,Both,5.0,6.0,,,image35.jpg,Classical_1.mp3,5.5,5.5,-0.5
5ddb5ed4a64380abb2907440,37,33,3,1189.0,Post,image1.jpg,Cut_jazz_14.mp3,Music,2.0,7.0,7.0,2.0,,Cut_jazz_14.mp3,4.5,7.0,-4.0
5ddb5ed4a64380abb2907440,38,34,6,1421.0,Post,image2.jpg,Classical_7.mp3,Image,8.0,6.0,8.0,6.0,image2.jpg,,7.0,8.0,-2.0
