participant,AREA_1,AREA_2,AREA_3,AREA_4,AREA_5,AREA_6,AREA_7,AREA_8,AREA_9,AREA_10,AREA_11,AREA_12,AREA_13,AREA_14,BMRQ_1,BMRQ_2,BMRQ_3,BMRQ_4,BMRQ_5,BMRQ_6,BMRQ_7,BMRQ_8,BMRQ_9,BMRQ_10,BMRQ_11,BMRQ_12,BMRQ_13,BMRQ_14,BMRQ_15,BMRQ_16,BMRQ_17,BMRQ_18,BMRQ_19,BMRQ_20,Sex,Age,Ed,Race,YrsMusic,YrsArt,AReA_aesthApp,AReA_intAesthExp,AReA_creatBehav,AReA_total,BMQR_total,BMRQ_sum,BMRQ_musicSeeking,BMRQ_emoEvoc,BMRQ_moodReg,BMRQ_sensMot,BMRQ_social,BMRQ_musicRew,avgRMSE_accurate_preOne,avgRMSE_linear_preOne,avgRMSE_linear_modality_preOne,avgRMSE_averaging_preOne,avgRMSE_highAtt_preOne,avgRes_linear_preOne,avgRes_linear_image_preOne,avgRes_linear_music_preOne,avgRes_highAtt_preOne,avgRMSE_accurate_postOne,avgRMSE_linear_postOne,avgRMSE_linear_modality_postOne,avgRMSE_averaging_postOne,avgRMSE_highAtt_postOne,avgRes_linear_postOne,avgRes_linear_image_postOne,avgRes_linear_music_postOne,avgRes_highAtt_postOne,avgRMSE_averaging_preBoth,avgRMSE_linear_modality_preBoth,avgRMSE_compress_preBoth,avgRMSE_extreme_preBoth,avgRes_imageWeight_linear_preBoth,avgRes_a_compress_preBoth,avgRes_b_compress_preBoth,avgRes_a_extreme_preBoth,avgRes_b_extreme_preBoth,avgRMSE_averaging_postBoth,avgRMSE_linear_modality_postBoth,avgRMSE_compress_postBoth,avgRMSE_extreme_postBoth,avgRes_imageWeight_linear_postBoth,avgRes_a_compress_postBoth,avgRes_b_compress_postBoth,avgRes_a_extreme_postBoth,avgRes_b_extreme_postBoth
558acd52fdf99b65685f03d9,1,4,3,2,2,2,3,1,3,2,3,1,2,3,4,2,4,4,1,4,3,4,4,5,2,2,4,4,4,3,2,2,4,4,Female,30,15.0,Black/African American,1,0.0,20,7,7,32,66,66,39.0,36.0,47.0,55.0,54.0,44.0,0.5277777777777778,0.8657748053700851,0.8657363789350241,1.0555555555555556,0.8657748053700851,1.0,1.0,0.9989106753184538,5.0,0.5833333333333334,0.955187136826368,0.9359148953428796,0.9166666666666666,0.985624861275562,0.8689506271815681,0.9681368401769505,0.763231885797531,5.0,0.5833333333333334,0.7933008021889277,0.7430223892351041,0.8067327372927462,0.4227801774616022,0.8542169332370173,0.6399092064053529,0.0,1.0053967875205088,0.75,0.9070747215069912,0.8725948365235464,0.9169472520849424,0.572213848457383,0.7856959443790402,0.6977980866829949,0.0,1.0212618984276054
5b287b1a8ecf3f000161bc22,1,4,3,3,4,3,3,1,4,3,2,2,3,3,4,1,4,4,1,4,4,4,4,4,4,4,3,4,4,4,2,4,4,4,Female,24,16.0,White,0,0.0,24,8,10,39,71,71,55.0,48.0,45.0,52.0,52.0,50.0,0.9444444444444444,1.174721547319002,1.1733420741260527,1.2222222222222223,1.1956670435754742,0.8469843562281612,0.8283236674286752,0.8640173614815438,4.988051977301919,0.8888888888888888,1.2537648489260178,1.1870834359624731,1.1666666666666667,1.1077758883495634,0.7782725466520088,0.6384848074412349,0.9600536473540728,2.312865722959165,0.7777777777777778,1.0036998062478988,0.9754517770846892,0.9720304585796792,0.4466544180973504,0.0,0.9056762594890956,-0.290674791245162,1.0050336274057736,0.7777777777777778,0.8857162281977532,0.736369372076748,0.766088325218587,0.2390544438867564,0.0001699051536393,0.7357224269146444,-0.7222224593861807,1.0
5c523d16102de10001022098,2,4,4,4,1,4,1,2,4,2,3,2,4,4,5,1,3,5,2,5,5,5,5,4,5,5,1,5,5,5,5,5,5,5,Male,25,16.0,White,0,0.0,30,11,4,41,86,86,69.0,56.0,58.0,54.0,59.0,62.0,2.361111111111111,2.4347234846595285,2.357392660990956,1.8888888888888888,2.9283022279400845,0.4227802688728065,0.2834334207739946,0.6672870995169533,4.330462277532731,1.6666666666666667,1.6789378646702493,1.6624154864889011,1.3333333333333333,2.08742185192123,0.6135388546502131,0.5563468475790161,0.6866636047245065,4.570936560645048,2.138888888888889,2.5605432148806653,2.0008062072130377,2.520854963301523,0.6395647590942337,5.650701726639138,0.037661714126701,0.0,1.12948726815388,2.1944444444444446,2.312048024949016,1.9466727089231648,2.3339121281808657,0.3545649312155439,5.4612162764395125,0.0081909657020281,0.0,1.0870383540991733
5c80bcebfdb5c90001d11ad6,2,4,4,4,2,3,2,1,5,2,3,3,2,4,4,2,5,5,3,4,4,4,5,4,4,5,3,5,5,4,4,5,5,5,Male,39,12.0,African American,15,2.0,28,9,6,41,85,85,56.0,58.0,59.0,50.0,52.0,58.0,0.9166666666666666,1.163333499397119,1.054689111156954,1.2777777777777777,1.0855617421606347,0.8677858268634373,1.0,0.6511233471159676,3.553762416526282,1.1111111111111112,1.263667350728903,1.1779928782069182,1.1944444444444444,1.2114212556271582,0.7806839989063397,0.9147145421011592,0.6171915574078439,3.4220621901011743,0.7222222222222222,0.949512230156214,0.8785455109441629,0.9532387665611184,0.4584703558744023,0.8787799491616588,0.7597709702066624,-0.0588222192996948,1.0,1.0,1.161221302009924,1.0160565243432798,1.1012817559523227,0.6351131137001225,0.8836221916126452,0.6297767420398599,-0.5555555663322349,1.0
5c911ccff618f500163a77bf,2,3,4,2,2,2,5,1,4,3,2,1,2,3,5,1,5,5,2,5,4,5,5,4,4,5,5,5,5,5,2,5,5,5,Female,38,24.0,"mixed race, black/white",25,1.0,22,6,10,36,87,87,56.0,62.0,62.0,54.0,65.0,64.0,1.8611111111111112,2.014266093357465,1.973315902918353,1.6388888888888888,2.32389791147098,0.6511489491754907,0.7489140533283131,0.536015657090315,5.8862576327965375,1.1666666666666667,1.5655627891044752,1.5485025117007014,1.4722222222222223,1.4253903229551854,0.8208265075473052,0.8964061234478868,0.7636497750860587,4.9094720357875525,1.25,1.5646285605319643,1.4615791540479042,1.4696640891808357,0.5509757412282741,0.1167218520018003,0.8718749596331916,-0.6137506332875519,1.00544294599475,1.0277777777777777,1.3587442746609946,1.327222591324285,1.2714342087999793,0.5268111478339246,0.0,0.9424279591930778,-1.236712597665293,1.1509940402630383
5ca0326cc00f5a0001f99339,3,5,4,5,5,5,2,5,5,5,5,5,5,5,5,2,4,5,3,5,5,5,4,5,5,5,5,5,5,5,2,5,5,5,Other,24,16.5,white,2,8.5,37,20,12,64,90,90,59.0,57.0,58.0,56.0,62.0,62.0,1.8888888888888888,2.0801443895824887,2.0793115672139377,1.8888888888888888,2.188784720551153,0.7356112838859503,0.7430995947997698,0.7269077114630602,5.564998198628379,2.111111111111111,2.3966988855483957,2.0804744857020285,1.9722222222222223,2.4625182911087937,0.5370119467167105,0.9018088389077292,0.1372318299907863,2.0547265912226944,2.583333333333333,3.0770731235940505,2.696974908854564,3.081229792538783,0.5337142108141195,4.854769261093941,0.1178264226515583,-0.0637258861099951,1.0,2.0277777777777777,2.514255963947212,2.511409182759065,2.6656325612280343,0.7451872438000982,2.901210763808578,0.4539424644300476,-0.1094769791045871,1.000840970881089
5d12423a1a6cf5001ecbe000,3,5,3,3,3,4,3,2,3,4,3,2,3,3,4,1,4,5,1,4,3,4,4,5,4,4,5,5,5,5,2,4,4,5,Female,23,16.0,White,5,3.0,27,10,10,44,78,78,54.0,47.0,54.0,61.0,59.0,57.0,0.7222222222222222,1.0949711300776916,0.958668624476574,1.2222222222222223,1.224340100939978,0.8203423708725294,0.993998744300042,0.6467171556100344,8.944444699737021,0.6944444444444444,0.8846204035194044,0.8467099089221632,1.1944444444444444,0.999373082755642,0.851057527818828,0.9262700819653727,0.7722205043760666,7.808264941771849,1.0277777777777777,0.677413815112589,1.2716976904577686,1.075711641837112,0.8521088702155869,0.0,0.991742505968214,-1.7039391763317775,1.439206949909822,0.75,0.9071544894801912,0.91275445555991,0.8992075477494333,0.5698889271159326,0.1944446151336806,1.0,-0.1705684461063723,1.1097528319849352
5d42486206811e001ada5b4b,3,5,4,4,1,4,1,3,5,1,4,4,4,4,5,1,5,5,1,5,5,4,5,5,5,4,4,5,5,5,4,4,5,5,Male,45,12.0,white,0,0.0,33,15,3,47,87,87,67.0,52.0,59.0,61.0,64.0,64.0,1.4166666666666667,1.8888395414318409,1.8709362361223687,1.8611111111111112,1.7960992064372476,0.8106420205666,0.7428918211587574,0.8771936983701834,5.817000464815354,1.1111111111111112,1.5312970176691278,1.4943679841528856,1.6944444444444444,1.5731084800850186,0.8540443932368044,0.7598186879123182,0.9319571249288602,7.113906029650108,1.3611111111111112,1.6494218565294154,1.648679942037693,1.66499357997305,0.4417319330298326,0.7333531382363249,0.86489678842167,-0.0991218471518931,1.0014587243443351,1.0833333333333333,1.4214895837901027,1.3612683705591744,1.3942873668263245,0.5155991279703628,1.0661321293561323,0.8831584135865708,-0.0053975831729519,1.0480143395769284
5d847ac9be4b0b00188463d7,0,3,2,2,1,3,1,1,3,1,1,1,2,2,3,1,4,5,4,3,3,4,5,1,3,3,1,5,5,1,1,4,5,2,Male,24,12.0,White,0,0.0,17,5,3,23,63,63,47.0,45.0,66.0,25.0,29.0,41.0,0.75,1.4647988194221369,1.44806701046528,1.5555555555555556,1.5483276279522231,0.8515709972722364,0.9109975433940616,0.7982192698535425,7.2976201286368285,1.1388888888888888,1.6881137056929791,1.6818618983067193,1.9166666666666667,1.800576086142658,0.8343891342504348,0.8669373764556952,0.8049057170984074,7.463268360004624,1.5555555555555556,1.414606376072469,1.5436603976545211,1.5494901398544627,0.8121004023779693,0.0,0.7453663340560639,-1.055554452155137,1.0,1.3333333333333333,1.536396140062403,1.4432993820307312,1.6109321759720585,0.6545575001757217,1.406681284601129,0.5164999104254786,-0.444443205463615,1.0
5d96203d74f4a000159a8c58,1,2,2,2,1,1,1,1,2,1,1,1,1,2,3,2,3,3,5,4,4,4,4,1,1,1,1,3,2,1,1,2,4,2,Male,49,18.0,white,0,0.0,13,4,3,19,51,51,34.0,29.0,42.0,16.0,36.0,23.0,0.5,0.8308143983594914,0.811357455069549,0.8888888888888888,0.8493468357188334,0.9076359113611906,0.8122307222230923,0.997353623733616,5.975781662701034,0.2222222222222222,0.4526675230951829,0.451408288212719,0.8055555555555556,0.471229699681802,0.9318211454707404,0.9499153490037304,0.9167239196689816,5.985966810453752,0.5,0.6323997484845617,0.6068932739086318,0.6394711766330871,0.390653720506706,0.8132639393551871,0.8197338730016648,0.0,1.0537776416776377,0.4444444444444444,0.5250404679614884,0.3546296111788153,0.3179951224704758,0.4863483566018308,0.3888881193172794,1.0,-0.3099619831159624,1.2130855418677131
