,score,res,rho,p
32,AReA_aesthApp,avgRes_a_compress_postBoth,0.4188475936241078,0.023730331864444693
33,AReA_aesthApp,avgRes_b_compress_postBoth,-0.3784592370987021,0.04292662612003323
45,AReA_intAesthExp,avgRMSE_accurate_postOne,0.394331403313129,0.034280109053304926
50,AReA_intAesthExp,avgRes_linear_postOne,-0.48768559131968964,0.0072837828227998586
51,AReA_intAesthExp,avgRes_linear_image_postOne,-0.5525782398345493,0.0018810275746841921
59,AReA_intAesthExp,avgRes_a_compress_preBoth,0.3941981624191393,0.03434634446021811
68,AReA_intAesthExp,avgRes_a_compress_postBoth,0.5136819893707674,0.00436938360322862
69,AReA_intAesthExp,avgRes_b_compress_postBoth,-0.4306832921451533,0.01968490983292114
70,AReA_intAesthExp,avgRes_a_extreme_postBoth,0.4609885757876736,0.011841228659854921
140,AReA_total,avgRes_a_compress_postBoth,0.3830247202692317,0.04027859882610199
147,BMQR_total,avgRMSE_averaging_preOne,0.4826151675249628,0.008011350993283409
165,BMQR_total,avgRMSE_extreme_preBoth,0.3955527815072341,0.03367773205036914
183,BMRQ_sum,avgRMSE_averaging_preOne,0.4826151675249628,0.008011350993283409
201,BMRQ_sum,avgRMSE_extreme_preBoth,0.3955527815072341,0.03367773205036914
219,BMRQ_musicSeeking,avgRMSE_averaging_preOne,0.3913744955859239,0.035774429764138145
225,BMRQ_musicSeeking,avgRMSE_accurate_postOne,0.43578746458699386,0.01812502437386723
228,BMRQ_musicSeeking,avgRMSE_averaging_postOne,0.39063302195993227,0.03615724101682195
229,BMRQ_musicSeeking,avgRMSE_highAtt_postOne,0.40340809633733826,0.030004469823871654
234,BMRQ_musicSeeking,avgRMSE_averaging_preBoth,0.4005934751855235,0.031281341104845185
236,BMRQ_musicSeeking,avgRMSE_compress_preBoth,0.48586727882000097,0.007537988594026799
237,BMRQ_musicSeeking,avgRMSE_extreme_preBoth,0.41797423935074274,0.024053942345938932
238,BMRQ_musicSeeking,avgRes_imageWeight_linear_preBoth,0.40390186389711463,0.029784886566313038
246,BMRQ_musicSeeking,avgRMSE_extreme_postBoth,0.4053831665764439,0.029133940624804514
252,BMRQ_emoEvoc,avgRMSE_accurate_preOne,0.41396324479230573,0.02558682607124096
255,BMRQ_emoEvoc,avgRMSE_averaging_preOne,0.39925974357484767,0.03190155824978227
266,BMRQ_emoEvoc,avgRes_linear_postOne,-0.40350023356176806,0.029963396258581094
270,BMRQ_emoEvoc,avgRMSE_averaging_preBoth,0.37959537301478874,0.042255041143017556
272,BMRQ_emoEvoc,avgRMSE_compress_preBoth,0.3684989915545775,0.04918532530678113
273,BMRQ_emoEvoc,avgRMSE_extreme_preBoth,0.43554362413173137,0.018197148502655407
281,BMRQ_emoEvoc,avgRMSE_compress_postBoth,0.3702244048929601,0.04805232408463022
289,BMRQ_moodReg,avgRMSE_linear_preOne,0.46300932477768636,0.011428415442276537
290,BMRQ_moodReg,avgRMSE_linear_modality_preOne,0.442717093547451,0.01617186264888099
291,BMRQ_moodReg,avgRMSE_averaging_preOne,0.6412775179562521,0.00017782265316837586
292,BMRQ_moodReg,avgRMSE_highAtt_preOne,0.46845358193701775,0.010375708751971757
297,BMRQ_moodReg,avgRMSE_accurate_postOne,0.42208590173319327,0.022561342987573875
298,BMRQ_moodReg,avgRMSE_linear_postOne,0.5238860184683922,0.003536075983685919
299,BMRQ_moodReg,avgRMSE_linear_modality_postOne,0.5221537548267868,0.003667085548463509
300,BMRQ_moodReg,avgRMSE_averaging_postOne,0.5688132822976839,0.0012829490178316667
301,BMRQ_moodReg,avgRMSE_highAtt_postOne,0.5082956456939433,0.004873200559943897
306,BMRQ_moodReg,avgRMSE_averaging_preBoth,0.5673806815411115,0.001328054561186313
307,BMRQ_moodReg,avgRMSE_linear_modality_preBoth,0.45954479749447547,0.012143746401716839
308,BMRQ_moodReg,avgRMSE_compress_preBoth,0.6166858564115416,0.00036710574392177894
309,BMRQ_moodReg,avgRMSE_extreme_preBoth,0.5998581524645172,0.0005828630373933903
315,BMRQ_moodReg,avgRMSE_averaging_postBoth,0.5260011929680299,0.003381566066822873
316,BMRQ_moodReg,avgRMSE_linear_modality_postBoth,0.537991593835751,0.00261065470837876
317,BMRQ_moodReg,avgRMSE_compress_postBoth,0.49839699631334067,0.005928777896558413
318,BMRQ_moodReg,avgRMSE_extreme_postBoth,0.4875084819946778,0.007308220215892871
322,BMRQ_moodReg,avgRes_a_extreme_postBoth,-0.4182677892968692,0.023944771072572254
327,BMRQ_sensMot,avgRMSE_averaging_preOne,0.4705447358797575,0.009993593546692022
344,BMRQ_sensMot,avgRMSE_compress_preBoth,0.38662776637795804,0.03828239138402084
