participant,trialPerBlock,runningTrialNumber,rating,rt,cueTime,image,music,cued,baselineImage,baselineMusic,baselineTarget,baselineDistractor,cuedImage,cuedMusic,baselinesMean,predRating,diffRatePred
5001.0,0.0,0,2.0,1000,Pre,Images/Image1.jpg,Musics/Music1.wav,Both,2.0,3.0,,,Images/Image1.jpg,Musics/Music1.wav,2.5,2.5,-0.5
5001.0,1.0,1,4.0,1000,Pre,Images/Image16.jpg,Musics/Music16.wav,Both,9.0,6.0,,,Images/Image16.jpg,Musics/Music16.wav,7.5,7.5,-3.5
5001.0,2.0,2,8.0,1000,Pre,Images/Image18.jpg,Musics/Music18.wav,Image,7.0,6.0,7.0,6.0,Images/Image18.jpg,,6.5,7.0,1.0
5001.0,3.0,3,1.0,1000,Pre,Images/Image8.jpg,Musics/Music8.wav,Image,3.0,7.0,3.0,7.0,Images/Image8.jpg,,5.0,3.0,-2.0
5001.0,4.0,4,8.0,1000,Pre,Images/Image12.jpg,Musics/Music12.wav,Both,7.0,3.0,,,Images/Image12.jpg,Musics/Music12.wav,5.0,5.0,3.0
5001.0,5.0,5,9.0,1000,Pre,Images/Image17.jpg,Musics/Music17.wav,Music,5.0,7.0,7.0,5.0,,Musics/Music17.wav,6.0,7.0,2.0
5001.0,6.0,6,3.0,1000,Pre,Images/Image6.jpg,Musics/Music6.wav,Both,6.0,6.0,,,Images/Image6.jpg,Musics/Music6.wav,6.0,6.0,-3.0
5001.0,7.0,7,2.0,1000,Pre,Images/Image1.jpg,Musics/Music1.wav,Music,2.0,3.0,3.0,2.0,,Musics/Music1.wav,2.5,3.0,-1.0
5001.0,8.0,8,4.0,1000,Pre,Images/Image17.jpg,Musics/Music17.wav,Image,5.0,7.0,5.0,7.0,Images/Image17.jpg,,6.0,5.0,-1.0
5001.0,9.0,9,7.0,1000,Pre,Images/Image5.jpg,Musics/Music5.wav,Both,7.0,2.0,,,Images/Image5.jpg,Musics/Music5.wav,4.5,4.5,2.5
5001.0,10.0,10,2.0,1000,Pre,Images/Image12.jpg,Musics/Music12.wav,Music,7.0,3.0,3.0,7.0,,Musics/Music12.wav,5.0,3.0,-1.0
5001.0,11.0,11,3.0,1000,Pre,Images/Image4.jpg,Musics/Music4.wav,Both,1.0,4.0,,,Images/Image4.jpg,Musics/Music4.wav,2.5,2.5,0.5
5001.0,12.0,12,5.0,1000,Pre,Images/Image10.jpg,Musics/Music10.wav,Music,7.0,8.0,8.0,7.0,,Musics/Music10.wav,7.5,8.0,-3.0
5001.0,13.0,13,1.0,1000,Pre,Images/Image13.jpg,Musics/Music13.wav,Both,4.0,4.0,,,Images/Image13.jpg,Musics/Music13.wav,4.0,4.0,-3.0
5001.0,14.0,14,5.0,1000,Pre,Images/Image11.jpg,Musics/Music11.wav,Music,1.0,7.0,7.0,1.0,,Musics/Music11.wav,4.0,7.0,-2.0
5001.0,15.0,15,1.0,1000,Pre,Images/Image11.jpg,Musics/Music11.wav,Image,1.0,7.0,1.0,7.0,Images/Image11.jpg,,4.0,1.0,0.0
5001.0,16.0,16,7.0,1000,Pre,Images/Image17.jpg,Musics/Music17.wav,Both,5.0,7.0,,,Images/Image17.jpg,Musics/Music17.wav,6.0,6.0,1.0
5001.0,17.0,17,3.0,1000,Pre,Images/Image18.jpg,Musics/Music18.wav,Music,7.0,6.0,6.0,7.0,,Musics/Music18.wav,6.5,6.0,-3.0
5001.0,18.0,18,6.0,1000,Pre,Images/Image12.jpg,Musics/Music12.wav,Image,7.0,3.0,7.0,3.0,Images/Image12.jpg,,5.0,7.0,-1.0
5001.0,19.0,19,3.0,1000,Pre,Images/Image14.jpg,Musics/Music14.wav,Both,1.0,7.0,,,Images/Image14.jpg,Musics/Music14.wav,4.0,4.0,-1.0
5001.0,20.0,20,2.0,1000,Pre,Images/Image6.jpg,Musics/Music6.wav,Image,6.0,6.0,6.0,6.0,Images/Image6.jpg,,6.0,6.0,-4.0
5001.0,21.0,21,8.0,1000,Pre,Images/Image10.jpg,Musics/Music10.wav,Both,7.0,8.0,,,Images/Image10.jpg,Musics/Music10.wav,7.5,7.5,0.5
5001.0,22.0,22,6.0,1000,Pre,Images/Image9.jpg,Musics/Music9.wav,Music,2.0,5.0,5.0,2.0,,Musics/Music9.wav,3.5,5.0,1.0
5001.0,23.0,23,3.0,1000,Pre,Images/Image14.jpg,Musics/Music14.wav,Image,1.0,7.0,1.0,7.0,Images/Image14.jpg,,4.0,1.0,2.0
5001.0,24.0,24,5.0,1000,Pre,Images/Image2.jpg,Musics/Music2.wav,Image,6.0,3.0,6.0,3.0,Images/Image2.jpg,,4.5,6.0,-1.0
5001.0,25.0,25,1.0,1000,Pre,Images/Image4.jpg,Musics/Music4.wav,Image,1.0,4.0,1.0,4.0,Images/Image4.jpg,,2.5,1.0,0.0
5001.0,26.0,26,6.0,1000,Pre,Images/Image8.jpg,Musics/Music8.wav,Music,3.0,7.0,7.0,3.0,,Musics/Music8.wav,5.0,7.0,-1.0
5001.0,27.0,27,8.0,1000,Pre,Images/Image2.jpg,Musics/Music2.wav,Music,6.0,3.0,3.0,6.0,,Musics/Music2.wav,4.5,3.0,5.0
5001.0,28.0,28,2.0,1000,Pre,Images/Image8.jpg,Musics/Music8.wav,Both,3.0,7.0,,,Images/Image8.jpg,Musics/Music8.wav,5.0,5.0,-3.0
5001.0,29.0,29,9.0,1000,Pre,Images/Image16.jpg,Musics/Music16.wav,Image,9.0,6.0,9.0,6.0,Images/Image16.jpg,,7.5,9.0,0.0
5001.0,30.0,30,6.0,1000,Pre,Images/Image7.jpg,Musics/Music7.wav,Both,7.0,7.0,,,Images/Image7.jpg,Musics/Music7.wav,7.0,7.0,-1.0
5001.0,31.0,31,1.0,1000,Pre,Images/Image11.jpg,Musics/Music11.wav,Both,1.0,7.0,,,Images/Image11.jpg,Musics/Music11.wav,4.0,4.0,-3.0
5001.0,32.0,32,7.0,1000,Pre,Images/Image14.jpg,Musics/Music14.wav,Music,1.0,7.0,7.0,1.0,,Musics/Music14.wav,4.0,7.0,0.0
5001.0,33.0,33,6.0,1000,Pre,Images/Image7.jpg,Musics/Music7.wav,Music,7.0,7.0,7.0,7.0,,Musics/Music7.wav,7.0,7.0,-1.0
5001.0,34.0,34,3.0,1000,Pre,Images/Image5.jpg,Musics/Music5.wav,Image,7.0,2.0,7.0,2.0,Images/Image5.jpg,,4.5,7.0,-4.0
5001.0,35.0,35,1.0,1000,Pre,Images/Image4.jpg,Musics/Music4.wav,Music,1.0,4.0,4.0,1.0,,Musics/Music4.wav,2.5,4.0,-3.0
5001.0,36.0,36,5.0,1000,Pre,Images/Image6.jpg,Musics/Music6.wav,Music,6.0,6.0,6.0,6.0,,Musics/Music6.wav,6.0,6.0,-1.0
5001.0,37.0,37,3.0,1000,Pre,Images/Image15.jpg,Musics/Music15.wav,Both,3.0,5.0,,,Images/Image15.jpg,Musics/Music15.wav,4.0,4.0,-1.0
5001.0,38.0,38,3.0,1000,Pre,Images/Image13.jpg,Musics/Music13.wav,Image,4.0,4.0,4.0,4.0,Images/Image13.jpg,,4.0,4.0,-1.0
