participant,AREA_1,AREA_2,AREA_3,AREA_4,AREA_5,AREA_6,AREA_7,AREA_8,AREA_9,AREA_10,AREA_11,AREA_12,AREA_13,AREA_14,BMRQ_1,BMRQ_2,BMRQ_3,BMRQ_4,BMRQ_5,BMRQ_6,BMRQ_7,BMRQ_8,BMRQ_9,BMRQ_10,BMRQ_11,BMRQ_12,BMRQ_13,BMRQ_14,BMRQ_15,BMRQ_16,BMRQ_17,BMRQ_18,BMRQ_19,BMRQ_20,Sex,Age,Ed,Race,YrsMusic,YrsArt,AReA_aesthApp,AReA_intAesthExp,AReA_creatBehav,AReA_total,BMRQ_sum,BMRQ_musicSeeking,BMRQ_emoEvoc,BMRQ_moodReg,BMRQ_sensMot,BMRQ_social,BMRQ_musicRew
5001.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,3.0,1.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,4.0,3.0,5.0,1.0,4.0,5.0,5.0,Female,19.0,14.0,Yellow,6.0,2.0,34.0,18.0,7.0,54.0,86.0,31.0,53.0,57.0,48.0,54.0,49.0
5002.0,4.0,1.0,4.0,5.0,1.0,5.0,4.0,5.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,2.0,3.0,1.0,2.0,4.0,2.0,1.0,2.0,3.0,4.0,Female,18.0,13.0,Yellow,3.0,0.0,31.0,15.0,8.0,51.0,69.0,35.0,41.0,45.0,41.0,35.0,35.0
5003.0,4.0,1.0,4.0,2.0,2.0,5.0,5.0,4.0,3.0,1.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,5.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,4.0,2.0,4.0,Female,20.0,14.0,Yellow,14.0,9.0,28.0,16.0,8.0,48.0,67.0,35.0,46.0,22.0,42.0,49.0,33.0
5004.0,5.0,1.0,5.0,4.0,1.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,2.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0,4.0,4.0,1.0,5.0,5.0,5.0,Female,17.0,15.0,Yellow,4.0,1.0,35.0,17.0,9.0,56.0,81.0,31.0,49.0,34.0,48.0,62.0,42.0
5005.0,5.0,2.0,4.0,4.0,2.0,4.0,5.0,5.0,5.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,1.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,2.0,5.0,4.0,4.0,Female,19.0,14.0,Yellow,0.0,0.0,30.0,12.0,9.0,49.0,79.0,52.0,40.0,55.0,49.0,60.0,51.0
5006.0,4.0,1.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,1.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,Female,21.0,17.0,Yellow,15.0,15.0,24.0,12.0,9.0,44.0,69.0,41.0,40.0,31.0,42.0,47.0,35.0
5007.0,4.0,1.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,2.0,4.0,2.0,4.0,4.0,5.0,3.0,3.0,4.0,2.0,5.0,3.0,3.0,3.0,4.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,4.0,Male,20.0,17.0,Yellow,10.0,0.0,27.0,15.0,10.0,48.0,57.0,32.0,32.0,23.0,45.0,52.0,30.0
5008.0,4.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,1.0,5.0,1.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,Female,20.0,15.0,Yellow,4.0,12.0,33.0,18.0,10.0,58.0,83.0,31.0,55.0,56.0,46.0,58.0,50.0
5009.0,4.0,1.0,1.0,4.0,2.0,4.0,4.0,5.0,5.0,2.0,4.0,2.0,1.0,4.0,5.0,4.0,2.0,1.0,4.0,4.0,2.0,4.0,3.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,Male,22.0,13.0,Yellow,0.0,0.0,24.0,12.0,8.0,43.0,51.0,23.0,25.0,10.0,37.0,50.0,18.0
5010.0,5.0,1.0,4.0,4.0,1.0,2.0,5.0,5.0,5.0,4.0,3.0,3.0,2.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,2.0,5.0,3.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,Male,19.0,17.0,Yellow,1.0,0.0,28.0,13.0,10.0,49.0,85.0,30.0,51.0,45.0,48.0,68.0,47.0
