Prolific_ID,Participant.Divice.Type,Trial.Number,Reaction.Time,Response,Display,ImageStim,MusicStim,StimCued
5001,computer,0,3.7467914,2,Pre,Images/Image1.jpg,Musics/Music1.wav,Both
5001,computer,1,3.1749459,4,Pre,Images/Image16.jpg,Musics/Music16.wav,Both
5001,computer,2,2.3850451,8,Pre,Images/Image18.jpg,Musics/Music18.wav,Image
5001,computer,3,2.7168451,1,Pre,Images/Image8.jpg,Musics/Music8.wav,Image
5001,computer,4,1.0754073,8,Pre,Images/Image12.jpg,Musics/Music12.wav,Both
5001,computer,5,1.9916752,9,Pre,Images/Image17.jpg,Musics/Music17.wav,Music
5001,computer,6,2.6100293,3,Pre,Images/Image6.jpg,Musics/Music6.wav,Both
5001,computer,7,2.3416704,2,Pre,Images/Image1.jpg,Musics/Music1.wav,Music
5001,computer,8,3.4980187,4,Pre,Images/Image17.jpg,Musics/Music17.wav,Image
5001,computer,9,0.7495563,7,Pre,Images/Image5.jpg,Musics/Music5.wav,Both
5001,computer,10,2.4061022,2,Pre,Images/Image12.jpg,Musics/Music12.wav,Music
5001,computer,11,1.2379638,3,Pre,Images/Image4.jpg,Musics/Music4.wav,Both
5001,computer,12,2.5660648,5,Pre,Images/Image10.jpg,Musics/Music10.wav,Music
5001,computer,13,1.1481353,1,Pre,Images/Image13.jpg,Musics/Music13.wav,Both
5001,computer,14,0.877463,5,Pre,Images/Image11.jpg,Musics/Music11.wav,Music
5001,computer,15,1.0270241,1,Pre,Images/Image11.jpg,Musics/Music11.wav,Image
5001,computer,16,0.6779227,7,Pre,Images/Image17.jpg,Musics/Music17.wav,Both
5001,computer,17,3.0525143,3,Pre,Images/Image18.jpg,Musics/Music18.wav,Music
5001,computer,18,0.6756954,6,Pre,Images/Image12.jpg,Musics/Music12.wav,Image
5001,computer,19,0.7893464,3,Pre,Images/Image14.jpg,Musics/Music14.wav,Both
5001,computer,20,0.6330214,2,Pre,Images/Image6.jpg,Musics/Music6.wav,Image
5001,computer,21,0.8487883,8,Pre,Images/Image10.jpg,Musics/Music10.wav,Both
5001,computer,22,0.6828054,6,Pre,Images/Image9.jpg,Musics/Music9.wav,Music
5001,computer,23,0.9519292,3,Pre,Images/Image14.jpg,Musics/Music14.wav,Image
5001,computer,24,0.6015022,5,Pre,Images/Image2.jpg,Musics/Music2.wav,Image
5001,computer,25,0.6491743,1,Pre,Images/Image4.jpg,Musics/Music4.wav,Image
5001,computer,26,3.0583429,6,Pre,Images/Image8.jpg,Musics/Music8.wav,Music
5001,computer,27,0.6482434,8,Pre,Images/Image2.jpg,Musics/Music2.wav,Music
5001,computer,28,1.4155545,2,Pre,Images/Image8.jpg,Musics/Music8.wav,Both
5001,computer,29,1.8793301,9,Pre,Images/Image16.jpg,Musics/Music16.wav,Image
5001,computer,30,3.7860603,6,Pre,Images/Image7.jpg,Musics/Music7.wav,Both
5001,computer,31,2.2169265,1,Pre,Images/Image11.jpg,Musics/Music11.wav,Both
5001,computer,32,2.1015696,7,Pre,Images/Image14.jpg,Musics/Music14.wav,Music
5001,computer,33,1.1084855,6,Pre,Images/Image7.jpg,Musics/Music7.wav,Music
5001,computer,34,0.6882396,3,Pre,Images/Image5.jpg,Musics/Music5.wav,Image
5001,computer,35,1.3124597,1,Pre,Images/Image4.jpg,Musics/Music4.wav,Music
5001,computer,36,0.8536128,5,Pre,Images/Image6.jpg,Musics/Music6.wav,Music
5001,computer,37,0.5875749,3,Pre,Images/Image15.jpg,Musics/Music15.wav,Both
5001,computer,38,0.3985601,3,Pre,Images/Image13.jpg,Musics/Music13.wav,Image
5001,computer,39,1.5009921,2,Pre,Images/Image3.jpg,Musics/Music3.wav,Music
5001,computer,40,1.2336132,1,Pre,Images/Image9.jpg,Musics/Music9.wav,Image
5001,computer,41,0.5639911,4,Pre,Images/Image18.jpg,Musics/Music18.wav,Both
5001,computer,42,1.8305281,5,Pre,Images/Image3.jpg,Musics/Music3.wav,Both
5001,computer,43,2.9111119,3,Pre,Images/Image15.jpg,Musics/Music15.wav,Image
5001,computer,44,0.6112273,5,Pre,Images/Image2.jpg,Musics/Music2.wav,Both
5001,computer,45,1.0551907,8,Pre,Images/Image13.jpg,Musics/Music13.wav,Music
5001,computer,46,0.4831723,8,Pre,Images/Image7.jpg,Musics/Music7.wav,Image
5001,computer,47,1.4054482,1,Pre,Images/Image1.jpg,Musics/Music1.wav,Image
5001,computer,48,2.3992707,3,Pre,Images/Image16.jpg,Musics/Music16.wav,Music
5001,computer,49,13.8352851,6,Pre,Images/Image3.jpg,Musics/Music3.wav,Image
5001,computer,50,4.7386875,3,Pre,Images/Image5.jpg,Musics/Music5.wav,Music
5001,computer,51,3.0844251,2,Pre,Images/Image15.jpg,Musics/Music15.wav,Music
5001,computer,52,0.7204563,7,Pre,Images/Image10.jpg,Musics/Music10.wav,Image
5001,computer,53,0.7324566,2,Pre,Images/Image9.jpg,Musics/Music9.wav,Both
5001,computer,0,3.8027747,5,Post,Images/Image13.jpg,Musics/Music13.wav,Music
5001,computer,1,5.5045762,4,Post,Images/Image7.jpg,Musics/Music7.wav,Image
5001,computer,2,1.3326677,7,Post,Images/Image18.jpg,Musics/Music18.wav,Both
5001,computer,3,2.1646767,2,Post,Images/Image5.jpg,Musics/Music5.wav,Both
5001,computer,4,2.9052557,4,Post,Images/Image2.jpg,Musics/Music2.wav,Both
5001,computer,5,2.6449086,2,Post,Images/Image8.jpg,Musics/Music8.wav,Both
5001,computer,6,2.7180133,3,Post,Images/Image8.jpg,Musics/Music8.wav,Music
5001,computer,7,1.792843,3,Post,Images/Image16.jpg,Musics/Music16.wav,Music
5001,computer,8,2.9676922,1,Post,Images/Image9.jpg,Musics/Music9.wav,Both
5001,computer,9,2.0727951,2,Post,Images/Image15.jpg,Musics/Music15.wav,Image
5001,computer,10,1.3260433,2,Post,Images/Image11.jpg,Musics/Music11.wav,Image
5001,computer,11,1.6684368,4,Post,Images/Image11.jpg,Musics/Music11.wav,Music
5001,computer,12,2.5193818,7,Post,Images/Image10.jpg,Musics/Music10.wav,Image
5001,computer,13,1.3129732,2,Post,Images/Image5.jpg,Musics/Music5.wav,Music
5001,computer,14,1.1107986,3,Post,Images/Image2.jpg,Musics/Music2.wav,Music
5001,computer,15,1.8112417,2,Post,Images/Image6.jpg,Musics/Music6.wav,Image
5001,computer,16,0.9675187,2,Post,Images/Image1.jpg,Musics/Music1.wav,Music
5001,computer,17,2.0877161,1,Post,Images/Image9.jpg,Musics/Music9.wav,Image
5001,computer,18,1.1706615,2,Post,Images/Image11.jpg,Musics/Music11.wav,Both
5001,computer,19,1.4855553,5,Post,Images/Image10.jpg,Musics/Music10.wav,Music
5001,computer,20,2.1470406,3,Post,Images/Image18.jpg,Musics/Music18.wav,Music
5001,computer,21,2.2590237,7,Post,Images/Image17.jpg,Musics/Music17.wav,Music
5001,computer,22,2.450274,5,Post,Images/Image3.jpg,Musics/Music3.wav,Image
5001,computer,23,2.6726825,7,Post,Images/Image18.jpg,Musics/Music18.wav,Image
5001,computer,24,6.7265329,6,Post,Images/Image3.jpg,Musics/Music3.wav,Music
5001,computer,25,2.05139,1,Post,Images/Image8.jpg,Musics/Music8.wav,Image
5001,computer,26,1.3948408,2,Post,Images/Image6.jpg,Musics/Music6.wav,Both
5001,computer,27,1.0438847,2,Post,Images/Image4.jpg,Musics/Music4.wav,Both
5001,computer,28,1.2498489,5,Post,Images/Image13.jpg,Musics/Music13.wav,Image
