participant,avgRes_linear,avgRmse_linear,avgRes_linear_modality,avgRmse_linear_modality,avgRes_highAtt,avgRmse_highAtt,avgRmse_accurate,avgRmse_averaging
5001.0,0.8483015765501756,1.9763134914945617,[0.85597185 0.84073616],1.9755303354362144,5.745417936780926,1.9792959060415467,1.5555555555555556,2.0
5002.0,0.8181805881369454,0.8854233404683403,[1.         0.36363612],0.8250407960161518,5.998400763392899,0.8783396158902367,0.5833333333333334,0.6944444444444444
5003.0,0.7167218209951404,2.2907010135477384,[0.84214615 0.59130658],2.2270567229593636,5.874016794517394,2.454695192146847,1.9166666666666667,2.0555555555555554
5004.0,0.6315235937264893,1.182732262102327,[0.67921646 0.58370449],1.1718876606800173,3.6374046327181144,1.450827950132257,1.3333333333333333,1.0
5005.0,0.5208860660437189,2.2157246801711636,[0.4027973  0.63910142],2.1898199960728464,4.0899576319138085,2.418474307313536,2.25,1.9166666666666667
5006.0,0.6216708537863228,2.552337373870736,[0.79193044 0.45118678],2.4896442997438255,2.3495126592513187,2.4601844524227983,2.2777777777777777,2.0833333333333335
5007.0,0.6381915981580639,1.9025567614218941,[0.67622515 0.60001746],1.897734781851921,3.9983277702835007,1.955612306835751,1.5833333333333333,1.5
5008.0,0.5,,[0.5 0.5],,5.0,,,
5009.0,0.7468379912215478,1.247989404491632,[0.72720016 0.76670973],1.246887699430339,5.365538628636206,1.3182160288561107,0.9444444444444444,1.1666666666666667
5010.0,0.7187434507891011,1.5279734540882217,[0.83555781 0.60190356],1.4831679580933013,4.087990832452091,1.527011924158793,1.2777777777777777,1.4166666666666667
5011.0,0.6625482618186107,1.395758655988558,[0.91182279 0.41457837],1.3526651384489368,5.797151764320161,1.4609288045694198,1.1111111111111112,1.1388888888888888
5012.0,0.6825250584199783,1.706227189346339,[0.97813396 0.38469445],1.382212202190869,4.189490373538082,1.5332365650086064,1.4444444444444444,1.4166666666666667
5013.0,0.8848724490968448,1.156932959901266,[0.96636442 0.80348519],1.1278760677370607,6.158505365945441,1.170037392454136,0.75,1.3055555555555556
5014.0,0.37495856736796407,1.4508975754096463,[0.10592639 0.64387417],1.2547340915696255,3.0017855926329937,1.887997280402927,1.75,1.2222222222222223
5015.0,0.7447424030518088,1.475369474671367,[0.6186476  0.87111914],1.402644101395104,5.35902893053596,1.647511898539873,1.1944444444444444,1.3333333333333333
5016.0,0.37166509891730654,1.542796172126951,[0.20338087 0.53990294],1.4836356612011818,3.0010118646251476,1.8253764701885764,1.75,1.2777777777777777
5017.0,0.7177757519109336,1.4881724904540607,[0.80676765 0.62868201],1.4574769478747864,4.513999018005057,1.4778369493371126,1.2777777777777777,1.3611111111111112
5019.0,0.8620202698232311,1.4479606101161377,[1.         0.66363686],1.3620132041385773,5.829477416484647,1.4227553884114446,1.0555555555555556,1.3611111111111112
5020.0,0.6821131443160803,1.4493038683103607,[0.53548044 0.82867875],1.3899670417614676,5.317620997268865,1.577876081536945,1.3333333333333333,1.25
5021.0,0.43191644427872095,2.49102621276302,[0.28157296 0.58224015],2.4365378342635124,3.41881914394582,2.7698681373141225,2.75,2.0555555555555554
5022.0,0.5,,[0.5 0.5],,5.0,,,
5023.0,0.6569244341716137,2.8218792969980715,[0.95863899 0.35283599],2.475843385083227,3.7736885049442526,2.588671368560402,2.5833333333333335,2.4444444444444446
5024.0,0.5992381066860816,3.472792241845452,[0.86704064 0.33166691],3.263393349076348,3.748233731262213,3.1506773160103694,3.2222222222222223,3.1666666666666665
5025.0,0.6484748242588418,2.516331286882336,[0.52104363 0.77587388],2.485462321582658,3.2198485068203544,2.4527985716556646,2.1944444444444446,2.111111111111111
5026.0,0.8121266386444463,2.388332733146668,[0.4586907 1.       ],2.2102711029678983,7.01469815968826,2.437914366840681,1.8611111111111112,2.0833333333333335
5027.0,0.8476492137194,1.1541294371326405,[0.82769746 0.86752492],1.152409576014164,6.072351813836797,1.2048427128684298,0.9722222222222222,1.2222222222222223
5028.0,0.5,,[0.5 0.5],,5.0,,,
5029.0,0.6525129227388167,1.3910825589885973,[0.64339048 0.66157538],1.3902989249351068,6.5419064343439715,1.4820963856511356,1.1666666666666667,1.1388888888888888
5030.0,0.4683412781104678,2.1953105733426597,[0.74078558 0.19586498],2.041256749940715,2.3625578111170835,2.2699351747365926,2.138888888888889,1.8055555555555556
5031.0,0.47263864674645917,2.138239971815438,[0.66330726 0.28188619],2.075877322065597,5.577388668855294,2.458944198860881,1.8888888888888888,1.75
5032.0,0.5737843014480617,1.239953296499043,[0.57331295 0.57336441],1.2393421156600968,2.8524352843046596,1.323398348227235,1.1944444444444444,1.0555555555555556
5033.0,0.7555445682770184,1.7220226716712859,[0.82600606 0.68537707],1.6985130728368427,7.233191629535308,1.9202416659906083,1.3333333333333333,1.5
5034.0,0.3437312284486924,25.84305428687405,[0. 1.],24.798190302604244,9.0,25.953909647703632,21.75,21.805555555555557
,,,,,,,,
