participant,AREA_1,AREA_2,AREA_3,AREA_4,AREA_5,AREA_6,AREA_7,AREA_8,AREA_9,AREA_10,AREA_11,AREA_12,AREA_13,AREA_14,BMRQ_1,BMRQ_2,BMRQ_3,BMRQ_4,BMRQ_5,BMRQ_6,BMRQ_7,BMRQ_8,BMRQ_9,BMRQ_10,BMRQ_11,BMRQ_12,BMRQ_13,BMRQ_14,BMRQ_15,BMRQ_16,BMRQ_17,BMRQ_18,BMRQ_19,BMRQ_20,Sex,Age,Ed,Race,YrsMusic,YrsArt,avgRes_linear_preOne,avgRmse_linear_preOne,avgRes_linear_modality_preOne,avgRmse_linear_modality_preOne,avgRes_highAtt_preOne,avgRmse_highAtt_preOne,avgRmse_accurate_preOne,avgRmse_averaging_preOne,avgRes_linear_postOne,avgRmse_linear_postOne,avgRes_linear_modality_postOne,avgRmse_linear_modality_postOne,avgRes_highAtt_postOne,avgRmse_highAtt_postOne,avgRmse_accurate_postOne,avgRmse_averaging_postOne,avgRMSE_averaging_preBoth,avgRMSE_linear_modality_preBoth,avgRMSE_compress_preBoth,avgRMSE_extreme_preBoth,avgRes_imageWeight_linear_preBoth,avgRes_a_compress_preBoth,avgRes_b_compress_preBoth,avgRes_a_extreme_preBoth,avgRes_b_extreme_preBoth,avgRMSE_averaging_postBoth,avgRMSE_linear_modality_postBoth,avgRMSE_compress_postBoth,avgRMSE_extreme_postBoth,avgRes_imageWeight_linear_postBoth,avgRes_a_compress_postBoth,avgRes_b_compress_postBoth,avgRes_a_extreme_postBoth,avgRes_b_extreme_postBoth
5001.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,3.0,1.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,4.0,3.0,5.0,1.0,4.0,5.0,5.0,Female,19.0,14.0,Yellow,6.0,2.0,0.8483015765501756,1.9763134914945617,[0.85597185 0.84073616],1.9755303354362144,5.745417936780926,1.9792959060415467,1.5555555555555556,2.0,0.8234791295902979,1.9953436464258656,[0.9552926  0.69173784],1.9455244651457404,5.265223956397196,1.9419708337349584,1.6666666666666667,1.9166666666666667,1.75,1.8590774721898773,1.8791632108684688,1.904199110538762,0.7706722263683768,,,,,1.6388888888888888,1.9427319149471671,1.2561520001824755,1.1780067320780825,0.5967061433767605,,,,
5002.0,4.0,1.0,4.0,5.0,1.0,5.0,4.0,5.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,2.0,3.0,1.0,2.0,4.0,2.0,1.0,2.0,3.0,4.0,Female,18.0,13.0,Yellow,3.0,0.0,0.8181805881369454,0.8854233404683403,[1.         0.36363612],0.8250407960161518,5.9984007633928975,0.8783396158902367,0.5833333333333334,0.6944444444444444,0.8181808056426433,0.8697266665755794,[1.         0.36363603],0.8083220114043184,6.638331136903902,0.8778033595975288,0.6111111111111112,0.6944444444444444,1.0833333333333333,1.3923750210248331,1.2541141510967553,1.402844437087219,0.9833322075991079,,,,,0.8055555555555556,0.9420093108343368,0.8935154483440905,1.070995109582134,1.0,,,,
5003.0,4.0,1.0,4.0,2.0,2.0,5.0,5.0,4.0,3.0,1.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,5.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,4.0,2.0,4.0,Female,20.0,14.0,Yellow,14.0,9.0,0.7167218209951404,2.2907010135477384,[0.84214615 0.59130658],2.227056722959364,5.874016794517393,2.4546951921468465,1.9166666666666667,2.055555555555556,0.8142858262317028,1.9114023292243003,[0.90620427 0.72126198],1.8692586704132788,6.572914120403914,1.9702440768834308,1.5,1.9722222222222223,1.5277777777777777,2.032097338763299,1.9874278111958892,2.0930182980135736,0.634657791380569,,,,,1.5833333333333333,1.8377715993378072,1.9836910491556656,2.0132729816550143,0.6966676897602065,,,,
5004.0,5.0,1.0,5.0,4.0,1.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,2.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0,4.0,4.0,1.0,5.0,5.0,5.0,Female,17.0,15.0,Yellow,4.0,1.0,0.6315235937264893,1.1827322621023273,[0.67921646 0.58370449],1.1718876606800173,3.6374046327181135,1.4508279501322567,1.3333333333333333,1.0,0.7210325842361333,1.1829770610423849,[0.86848913 0.57352832],1.0816529231532193,3.7690634966640437,1.163906994055214,1.1111111111111112,1.1111111111111112,1.1666666666666667,1.0737481057623377,1.2070579783544535,0.9210372972443216,0.7684687716189963,,,,,0.8333333333333334,0.9311794617957982,0.8661477237282469,0.72734693893895,0.6426502089377302,,,,
5005.0,5.0,2.0,4.0,4.0,2.0,4.0,5.0,5.0,5.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,1.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,2.0,5.0,4.0,4.0,Female,19.0,14.0,Yellow,0.0,0.0,0.5208860660437189,2.215724680171164,[0.4027973  0.63910142],2.1898199960728464,4.0899576319138085,2.418474307313536,2.25,1.9166666666666667,0.6319773624168173,2.012814153536947,[0.63186033 0.6321765 ],2.0120385774961616,4.072580005964413,2.0398778824460635,1.8611111111111112,1.7222222222222223,1.6666666666666667,2.1247208837637963,1.6897974859628997,2.06866131999186,0.44387051705131947,,,,,1.9444444444444444,1.9150403492982528,1.8604422297732244,2.1420665024955516,0.1595055330732984,,,,
5006.0,4.0,1.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,1.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,Female,21.0,17.0,Yellow,15.0,15.0,0.6216708537863228,2.552337373870736,[0.79193044 0.45118678],2.489644299743825,2.3495126592513187,2.4601844524227983,2.2777777777777777,2.083333333333333,0.7409943581112786,2.15903778619784,[0.84386108 0.63827898],2.1314986868512933,5.01209077447797,2.0725383562646056,1.6666666666666667,1.7777777777777777,1.805555555555556,2.2096262526902324,1.6285919872344248,1.7604634101333854,0.6402578997727871,,,,,1.5833333333333333,1.946035415111772,2.0943020091869395,2.087423600073881,0.7671435749286899,,,,
5007.0,4.0,1.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,2.0,4.0,2.0,4.0,4.0,5.0,3.0,3.0,4.0,2.0,5.0,3.0,3.0,3.0,4.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,4.0,Male,20.0,17.0,Yellow,10.0,0.0,0.6381915981580639,1.902556761421894,[0.67622515 0.60001746],1.8977347818519208,3.9983277702835007,1.955612306835751,1.5833333333333333,1.5,0.7910801609924076,2.204936062378859,[0.74062848 0.8412865 ],2.19892529120266,5.448872141244586,2.208789091965287,1.7222222222222223,1.9444444444444444,1.7222222222222223,2.021052357350536,1.951157177631571,2.023096020442704,0.5577660931744033,,,,,1.5555555555555556,2.1344999300529977,1.8271330100499836,2.1179074923176486,0.5231258263153403,,,,
5008.0,4.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,1.0,5.0,1.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,Female,20.0,15.0,Yellow,4.0,12.0,0.5,,[0.5 0.5],,5.0,,,,0.5,,[0.5 0.5],,5.0,,,,,,,,0.5,,,,,,,,,0.5,,,,
5009.0,4.0,1.0,1.0,4.0,2.0,4.0,4.0,5.0,5.0,2.0,4.0,2.0,1.0,4.0,5.0,4.0,2.0,1.0,4.0,4.0,2.0,4.0,3.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,Male,22.0,13.0,Yellow,0.0,0.0,0.7468379912215478,1.2479894044916322,[0.72720016 0.76670973],1.246887699430339,5.365538628636206,1.3182160288561109,0.9444444444444444,1.1666666666666667,0.6753087503469033,0.8616418576778886,[0.84404881 0.50652122],0.7877053436069021,4.4097896485201495,1.0231411972653457,0.75,0.6944444444444444,0.5277777777777778,0.6633864837025459,0.6254921061609926,0.6272810978794546,0.5589308341662305,,,,,0.6388888888888888,0.7087072107245391,0.7077337434490857,0.7134634501538586,0.6232071776278855,,,,
5010.0,5.0,1.0,4.0,4.0,1.0,2.0,5.0,5.0,5.0,4.0,3.0,3.0,2.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,2.0,5.0,3.0,2.0,5.0,5.0,4.0,5.0,5.0,5.0,Male,19.0,17.0,Yellow,1.0,0.0,0.7187434507891011,1.5279734540882215,[0.83555781 0.60190356],1.4831679580933013,4.087990832452092,1.5270119241587932,1.2777777777777777,1.4166666666666667,0.8665461872318787,1.752486085642019,[0.99933469 0.70463472],1.6788581241863132,5.0081553885245755,1.651366234652217,1.3055555555555556,1.75,1.6666666666666667,1.8592574756307685,1.7864628468363892,2.0336136810824303,0.7675258360401336,,,,,1.3888888888888888,1.7119525977763952,1.1787376071076927,1.4303042347943309,0.6083491734429489,,,,
5011.0,4.0,1.0,3.0,5.0,2.0,2.0,3.0,4.0,3.0,1.0,3.0,3.0,2.0,3.0,4.0,3.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,Female,20.0,15.0,Yellow,2.0,4.0,0.6625482618186107,1.395758655988558,[0.91182279 0.41457837],1.3526651384489368,5.797151764320161,1.4609288045694198,1.1111111111111112,1.1388888888888888,0.6472921876217936,0.8248768085440509,[0.64947001 0.64585614],0.8245071781734522,3.4871079476732345,0.8471651867725881,0.6388888888888888,0.6388888888888888,0.8333333333333334,0.9919346569833096,0.9088564277351748,0.9050237328842744,0.6502665716250462,,,,,0.5,0.7328532958320694,0.7375465246095536,0.7517665326089896,0.6502647308050135,,,,
5012.0,5.0,1.0,4.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,2.0,5.0,2.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,Female,20.0,15.0,Yellow,9.0,1.0,0.6825250584199783,1.7062271893463392,[0.97813396 0.38469445],1.3822122021908692,4.189490373538082,1.5332365650086064,1.4444444444444444,1.4166666666666667,0.9361614169949776,1.7733803308090434,[1.         0.81335767],1.730433912039652,6.82086514450659,1.7024171344617758,1.5277777777777777,1.9166666666666667,1.6944444444444444,1.8957808771613132,1.8330420522183788,1.812595390447452,0.7411075105290369,,,,,1.3055555555555556,1.5668853463992667,1.4552317734431552,1.412679139197107,0.6900000235616828,,,,
5013.0,5.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,1.0,5.0,1.0,2.0,4.0,4.0,5.0,3.0,5.0,5.0,Male,22.0,15.0,Yellow,0.0,0.0,0.8848724490968448,1.1569329599012659,[0.96636442 0.80348519],1.1278760677370607,6.158505365945442,1.170037392454136,0.75,1.3055555555555556,0.8904725942500471,0.7938689869635112,[0.94388272 0.83712134],0.7755093607686904,6.8816801470371525,0.8710955442620515,0.4722222222222222,1.1944444444444444,1.0,1.158091802145184,1.1396116524569362,1.1459037616524872,0.4661140989521694,,,,,0.7222222222222222,0.9232279954503531,0.6312031772514523,0.9220727676488762,0.33121678888074946,,,,
5014.0,5.0,2.0,5.0,2.0,1.0,4.0,2.0,5.0,3.0,4.0,5.0,5.0,2.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,4.0,2.0,2.0,3.0,4.0,2.0,5.0,5.0,5.0,Female,20.0,14.0,Yellow,9.0,2.0,0.3749585673679641,1.4508975754096465,[0.10592639 0.64387417],1.2547340915696257,3.0017855926329937,1.8879972804029268,1.75,1.2222222222222223,0.5529665882852829,1.3035933252504217,[0.45468132 0.65109996],1.2755709212711528,4.316359623303441,1.6397261633553264,1.3888888888888888,1.0833333333333333,1.2777777777777777,1.3661184901578614,1.4864208057265005,1.5074058303268738,0.25022571648275804,,,,,1.3333333333333333,1.66687441999883,1.7414400569907815,1.749666565161276,0.2428652941235515,,,,
5016.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,2.0,3.0,3.0,5.0,1.0,4.0,5.0,5.0,Female,18.0,14.0,Yellow,14.0,6.0,0.37166509891730654,1.542796172126951,[0.20338087 0.53990294],1.4836356612011818,3.001011864625148,1.8253764701885764,1.75,1.2777777777777777,0.4690571882462554,1.5293017888523954,[0.38060386 0.55759142],1.5125221231439856,4.695218424941084,1.875581252530264,1.6666666666666667,1.2777777777777777,1.4166666666666667,1.6622773239405593,1.3906455899092194,1.6612419986264235,0.2829017848666736,,,,,1.6388888888888888,1.8504127743266137,1.6484901637624176,1.8485686330739988,0.4422879754631141,,,,
